0x140534AD0	EXE2j_btlev02_btlev02_move00
0x140534CD0	EXE2j_btlev02_btlev02_move01
0x140534EA0	EXE2j_btlev02_btlev02_exit
0x140B01C50	EXE2j_btlev03_BattleEvent03Move
0x140B01DA0	EXE2j_btlev03_event03_init
0x140B02020	EXE2j_btlev03_event03_move_00
0x140B023D0	EXE2j_btlev03_event03_move_01
0x140B025A0	EXE2j_btlev03_event03_exit
0x1405727A0	EXE2j_btlev04_BattleEvent04Move
0x140572890	EXE2j_btlev04_event04_init
0x140572AF0	EXE2j_btlev04_event04_move
0x140572BE0	EXE2j_btlev04_event04_telop
0x140572DF0	EXE2j_btlev04_event04_efc
0x140572F90	EXE2j_btlev04_event04_fade
0x140573160	EXE2j_btlev04_event04_exit
0x140AE6D20	EXE2j_btlev05_BattleEvent05Move
0x140AE6E10	EXE2j_btlev05_event05_init
0x140AE7050	EXE2j_btlev05_event05_move
0x140AE7140	EXE2j_btlev05_event05_appear
0x140AE73C0	EXE2j_btlev05_event05_set
0x140AE7800	EXE2j_btlev05_event05_fade
0x140AE79D0	EXE2j_btlev05_event05_exit
0x1406AA5F0	EXE2j_btlev06_BattleEvent06Move
0x1406AA6E0	EXE2j_btlev06_event06_init
0x1406AA920	EXE2j_btlev06_event06_move
0x1406AAA10	EXE2j_btlev06_event06_appear
0x1406AADC0	EXE2j_btlev06_event06_set
0x1406AB040	EXE2j_btlev06_event06_fade
0x1406AB210	EXE2j_btlev06_event06_exit
0x14086CA60	EXE2j_btlev07_BattleEvent07Move
0x14086CB50	EXE2j_btlev07_event07_init
0x14086CD90	EXE2j_btlev07_event07_move
0x14086CE80	EXE2j_btlev07_event07_set
0x14086D180	EXE2j_btlev07_event07_fade
0x14086D350	EXE2j_btlev07_event07_exit
0x14049EE90	EXE2j_btlev08_BattleEvent08Move
0x14049EF80	EXE2j_btlev08_event08_init
0x14049F1C0	EXE2j_btlev08_event08_move
0x14049F2B0	EXE2j_btlev08_event08_set
0x14049F5B0	EXE2j_btlev08_event08_fade
0x14049F780	EXE2j_btlev08_event08_exit
0x140A70610	EXE2j_btlev09_BattleEvent09Move
0x140A70700	EXE2j_btlev09_event09_init
0x140A70940	EXE2j_btlev09_event09_move
0x140A70A30	EXE2j_btlev09_event09_set
0x140A70D30	EXE2j_btlev09_event09_fade
0x140A70F00	EXE2j_btlev09_event09_exit
0x140AA42B0	EXE2j_btlev0a_BattleEvent0aMove
0x140AA43A0	EXE2j_btlev0a_btlev0a_init
0x140AA45A0	EXE2j_btlev0a_btlev0a_move
0x140AA4690	EXE2j_btlev0a_btlev0a_check
0x140AA4780	EXE2j_btlev0a_btlev0a_check_00
0x140AA4A70	EXE2j_btlev0a_btlev0a_check_01
0x140AA4BF0	EXE2j_btlev0a_btlev0a_check_02
0x140AA4E80	EXE2j_btlev0a_btlev0a_telop
0x140AA50B0	EXE2j_btlev0a_btlev0a_pl_erase
0x140AA5390	EXE2j_btlev0a_btlev0a_hart
0x140AA5660	EXE2j_btlev0a_btlev0a_pl_entry
0x140AA57A0	EXE2j_btlev0a_btlev0a_exit
0x140919A60	EXE2j_btlev0b_BattleEvent0bMove
0x140919B50	EXE2j_btlev0b_event0b_init
0x140919D90	EXE2j_btlev0b_event0b_move
0x140919E80	EXE2j_btlev0b_event0b_set
0x14091A0D0	EXE2j_btlev0b_event0b_fade
0x14091A2A0	EXE2j_btlev0b_event0b_exit
0x1408DB270	EXE2j_btlev0c_BattleEvent0cMove
0x1408DB360	EXE2j_btlev0c_event0c_init
0x1408DB5A0	EXE2j_btlev0c_event0c_move
0x1408DB690	EXE2j_btlev0c_event0c_set
0x1408DB880	EXE2j_btlev0c_event0c_fade
0x1408DBA50	EXE2j_btlev0c_event0c_exit
0x140A62CC0	EXE2j_btlev0d_BattleEvent0dMove
0x140A62DB0	EXE2j_btlev0d_btlev0d_init
0x140A62FB0	EXE2j_btlev0d_btlev0d_move
0x140A630A0	EXE2j_btlev0d_btlev0d_telop
0x140A63260	EXE2j_btlev0d_btlev0d_pl_erase
0x140A63510	EXE2j_btlev0d_btlev0d_pl_entry
0x140A636F0	EXE2j_btlev0d_btlev0d_exit
0x1406D6780	EXE2j_btlev0e_BattleEvent0eMove
0x1406D6870	EXE2j_btlev0e_btlev0e_init
0x1406D6A70	EXE2j_btlev0e_btlev0e_move
0x1406D6B60	EXE2j_btlev0e_btlev0e_telop
0x1406D6D20	EXE2j_btlev0e_btlev0e_pl_erase
