0x140C198A0	EXE3w_btlev02_btlev02_move01
0x140C19A70	EXE3w_btlev02_btlev02_exit
0x1414308F0	EXE3w_btlev03_BattleEvent03Move
0x141430A40	EXE3w_btlev03_event03_init
0x141430C80	EXE3w_btlev03_event03_move_00
0x141430F90	EXE3w_btlev03_event03_move_01
0x141431160	EXE3w_btlev03_event03_exit
0x140C4F580	EXE3w_btlev04_BattleEvent04Move
0x140C4F670	EXE3w_btlev04_event04_init
0x140C4F8D0	EXE3w_btlev04_event04_move
0x140C4F9C0	EXE3w_btlev04_event04_telop
0x140C4FBD0	EXE3w_btlev04_event04_efc
0x140C4FD70	EXE3w_btlev04_event04_fade
0x140C4FF40	EXE3w_btlev04_event04_exit
0x14140CC70	EXE3w_btlev05_BattleEvent05Move
0x14140CD60	EXE3w_btlev05_event05_init
0x14140CFA0	EXE3w_btlev05_event05_move
0x14140D090	EXE3w_btlev05_event05_appear
0x14140D310	EXE3w_btlev05_event05_set
0x14140D750	EXE3w_btlev05_event05_fade
0x14140D920	EXE3w_btlev05_event05_exit
0x140DCE4F0	EXE3w_btlev06_BattleEvent06Move
0x140DCE5E0	EXE3w_btlev06_btlev06_move
0x140DCE6D0	EXE3w_btlev06_btlev06_pl_erase
0x14105D4E0	EXE3w_btlev07_BattleEvent07Move
0x14105D5D0	EXE3w_btlev07_btlev07_move
0x14105D6C0	EXE3w_btlev07_btlev07_telop
0x14105D8C0	EXE3w_btlev07_btlev07_pl_erase
0x14105DB60	EXE3w_btlev07_btlev07_pl_entry
0x140B58BA0	EXE3w_btlev08_BattleEvent08Move
0x140B58C90	EXE3w_btlev08_btlev08_init
0x140B58F60	EXE3w_btlev08_btlev08_move
0x140B59050	EXE3w_btlev08_btlev08_telop
0x140B59270	EXE3w_btlev08_btlev08_exit
0x14135F180	EXE3w_btlev09_BattleEvent09Move
0x14135F270	EXE3w_btlev09_btlev09_move
0x14135F360	EXE3w_btlev09_btlev09_pl_erase
0x1413B5380	EXE3w_btlev0a_BattleEvent0aMove
0x1413B5470	EXE3w_btlev0a_btlev0a_move
0x1413B5560	EXE3w_btlev0a_btlev0a_pl_erase
0x14114A750	EXE3w_btlev0b_BattleEvent0bMove
0x14114A840	EXE3w_btlev0b_event0b_init
0x14114AA80	EXE3w_btlev0b_event0b_move
0x14114AB70	EXE3w_btlev0b_event0b_set
0x14114ADC0	EXE3w_btlev0b_event0b_fade
0x14114AF90	EXE3w_btlev0b_event0b_exit
0x1410F0090	EXE3w_btlev0c_BattleEvent0cMove
0x1410F0180	EXE3w_btlev0c_event0c_init
0x1410F03C0	EXE3w_btlev0c_event0c_move
0x1410F04B0	EXE3w_btlev0c_event0c_set
0x1410F06A0	EXE3w_btlev0c_event0c_fade
0x1410F0870	EXE3w_btlev0c_event0c_exit
0x141345B40	EXE3w_btlev0d_BattleEvent0dMove
0x141345C30	EXE3w_btlev0d_event0d_init
0x141345E70	EXE3w_btlev0d_event0d_move
0x141345F60	EXE3w_btlev0d_event0d_telop
0x1413461B0	EXE3w_btlev0d_event0d_efc
0x141346350	EXE3w_btlev0d_event0d_fade
0x141346520	EXE3w_btlev0d_event0d_exit
0x140E0C4D0	EXE3w_btlev0e_BattleEvent0eMove
0x140E0C5C0	EXE3w_btlev0e_btlev0e_move
0x140E0C6B0	EXE3w_btlev0e_btlev0e_pl_erase
0x140D35DF0	EXE3w_btlev0f_BattleEvent0fMove
0x140D35EE0	EXE3w_btlev0f_event0f_init
0x140D36110	EXE3w_btlev0f_event0f_move
0x140D36200	EXE3w_btlev0f_event0f_telop
0x140D363B0	EXE3w_btlev0f_event0f_efc
0x140D36540	EXE3w_btlev0f_event0f_fade
0x140D36710	EXE3w_btlev0f_event0f_exit
0x140C2E620	EXE3w_btlev10_BattleEvent10Move
0x140C2E710	EXE3w_btlev10_btlev10_init
0x140C2E9E0	EXE3w_btlev10_btlev10_move
0x140C2EAD0	EXE3w_btlev10_btlev10_telop
0x140C2ED20	EXE3w_btlev10_btlev10_sikake_set
0x140C2EE90	EXE3w_btlev10_btlev10_exit
0x140C2F0D0	EXE3w_btlev10_btlev10_sikake_set_sub
0x140C2F480	EXE3w_btlev10_sikake_type00_set
0x141214760	EXE3w_btlev11_BattleEvent11Move
0x141214850	EXE3w_btlev11_btlev11_init
0x141214B70	EXE3w_btlev11_btlev11_move
0x141214C60	EXE3w_btlev11_btlev11_check
0x141214D90	EXE3w_btlev11_btlev11_telop
0x141214F30	EXE3w_btlev11_btlev11_pl_erase
0x1412151F0	EXE3w_btlev11_btlev11_pl_entry
0x141215380	EXE3w_btlev11_btlev11_exit
0x140E0F210	EXE3w_btlev12_BattleEvent12Move
0x140E0F300	EXE3w_btlev12_event12_init
0x140E0F560	EXE3w_btlev12_event12_move
0x140E0F650	EXE3w_btlev12_event12_appear
0x140E0FA00	EXE3w_btlev12_event12_set
0x140E0FDA0	EXE3w_btlev12_event12_fade
0x140E0FF70	EXE3w_btlev12_event12_exit
0x140C7C1D0	EXE3w_btlev13_BattleEvent13Move
0x140C7C2C0	EXE3w_btlev13_event13_init
0x140C7C500	EXE3w_btlev13_event13_move
0x140C7C5F0	EXE3w_btlev13_event13_appear
0x140C7C7C0	EXE3w_btlev13_event13_set
0x140C7CA10	EXE3w_btlev13_event13_fade
0x140C7CC20	EXE3w_btlev13_event13_exit
0x140C7ECF0	EXE3w_btlev14_BattleEvent14Move
0x140C7EDE0	EXE3w_btlev14_btlev14_move
0x140C7EED0	EXE3w_btlev14_btlev14_pl_erase
0x140BB0D90	EXE3w_btlev15_BattleEvent15Move
0x140BB0E80	EXE3w_btlev15_event15_init
0x140BB10C0	EXE3w_btlev15_event15_move
0x140BB11B0	EXE3w_btlev15_event15_telop
0x140BB13B0	EXE3w_btlev15_event15_efc
0x140BB1590	EXE3w_btlev15_event15_fade
0x140BB1760	EXE3w_btlev15_event15_exit
0x140BB18C0	EXE3w_btlev15_event15_panel_blink
0x140BB21B0	EXE3w_btlev15_event15_punish_set
0x1410C5CB0	EXE3w_btlev16_BattleEvent16Move
0x1410C5E00	EXE3w_btlev16_event16_init
0x1410C6040	EXE3w_btlev16_event16_move_00
0x1410C6270	EXE3w_btlev16_event16_move_01
0x1410C6590	EXE3w_btlev16_event16_move_02
0x1410C6760	EXE3w_btlev16_event16_exit
0x1410574D0	EXE3w_btlev17_BattleEvent17Move
0x1410575C0	EXE3w_btlev17_btlev17_init
0x1410577D0	EXE3w_btlev17_btlev17_move
0x1410578C0	EXE3w_btlev17_btlev17_telop
0x141057A80	EXE3w_btlev17_btlev17_pl_erase
0x141057D60	EXE3w_btlev17_btlev17_pl_entry
0x141057EF0	EXE3w_btlev17_btlev17_exit
0x14124D9E0	EXE3w_btlev18_BattleEvent18Move
0x14124DAD0	EXE3w_btlev18_event18_init
0x14124DD70	EXE3w_btlev18_event18_move
0x14124DE60	EXE3w_btlev18_event18_telop
0x14124E020	EXE3w_btlev18_event18_pl_off
0x14124E270	EXE3w_btlev18_event18_pl_on
