0x1409BCD10	EXE2j_btlev00_BattleEvent00Move
0x1409BCE60	EXE2j_btlev00_event00_init
0x1409BD0A0	EXE2j_btlev00_event00_move_00
0x1409BD610	EXE2j_btlev00_event00_move_01
0x1409BD7E0	EXE2j_btlev00_event00_exit
0x140AF9320	EXE2j_btlev01_BattleEvent01Move
0x140AF9410	EXE2j_btlev01_btlev01_init
0x140AF96F0	EXE2j_btlev01_btlev01_move
0x140AF97E0	EXE2j_btlev01_btlev01_move00
0x140AF99D0	EXE2j_btlev01_btlev01_move01
0x140AF9BC0	EXE2j_btlev01_btlev01_move02
0x140AF9CF0	EXE2j_btlev01_btlev01_move03
0x140AF9DE0	EXE2j_btlev01_btlev01_move04
0x140AF9FB0	EXE2j_btlev01_btlev01_exit
0x140AFA210	EXE2j_btlev01_btlev01_exit2
0x140535AE0	EXE2j_btlev02_BattleEvent02Move
0x140535BD0	EXE2j_btlev02_btlev02_init
0x140535E00	EXE2j_btlev02_btlev02_move
0x140535EF0	EXE2j_btlev02_btlev02_move00
0x1405360F0	EXE2j_btlev02_btlev02_move01
0x1405362C0	EXE2j_btlev02_btlev02_exit
0x140B03070	EXE2j_btlev03_BattleEvent03Move
0x140B031C0	EXE2j_btlev03_event03_init
0x140B03440	EXE2j_btlev03_event03_move_00
0x140B037F0	EXE2j_btlev03_event03_move_01
0x140B039C0	EXE2j_btlev03_event03_exit
0x140573BC0	EXE2j_btlev04_BattleEvent04Move
0x140573CB0	EXE2j_btlev04_event04_init
0x140573F10	EXE2j_btlev04_event04_move
0x140574000	EXE2j_btlev04_event04_telop
0x140574210	EXE2j_btlev04_event04_efc
0x1405743B0	EXE2j_btlev04_event04_fade
0x140574580	EXE2j_btlev04_event04_exit
0x140AE8140	EXE2j_btlev05_BattleEvent05Move
0x140AE8230	EXE2j_btlev05_event05_init
0x140AE8470	EXE2j_btlev05_event05_move
0x140AE8560	EXE2j_btlev05_event05_appear
0x140AE87E0	EXE2j_btlev05_event05_set
0x140AE8C20	EXE2j_btlev05_event05_fade
0x140AE8DF0	EXE2j_btlev05_event05_exit
0x1406ABA10	EXE2j_btlev06_BattleEvent06Move
0x1406ABB00	EXE2j_btlev06_event06_init
0x1406ABD40	EXE2j_btlev06_event06_move
0x1406ABE30	EXE2j_btlev06_event06_appear
0x1406AC1E0	EXE2j_btlev06_event06_set
0x1406AC460	EXE2j_btlev06_event06_fade
0x1406AC630	EXE2j_btlev06_event06_exit
0x14086DE80	EXE2j_btlev07_BattleEvent07Move
0x14086DF70	EXE2j_btlev07_event07_init
0x14086E1B0	EXE2j_btlev07_event07_move
0x14086E2A0	EXE2j_btlev07_event07_set
0x14086E5A0	EXE2j_btlev07_event07_fade
0x14086E770	EXE2j_btlev07_event07_exit
0x1404A02B0	EXE2j_btlev08_BattleEvent08Move
0x1404A03A0	EXE2j_btlev08_event08_init
0x1404A05E0	EXE2j_btlev08_event08_move
0x1404A06D0	EXE2j_btlev08_event08_set
0x1404A09D0	EXE2j_btlev08_event08_fade
0x1404A0BA0	EXE2j_btlev08_event08_exit
0x140A71A30	EXE2j_btlev09_BattleEvent09Move
0x140A71B20	EXE2j_btlev09_event09_init
0x140A71D60	EXE2j_btlev09_event09_move
0x140A71E50	EXE2j_btlev09_event09_set
0x140A72150	EXE2j_btlev09_event09_fade
0x140A72320	EXE2j_btlev09_event09_exit
0x140AA56D0	EXE2j_btlev0a_BattleEvent0aMove
0x140AA57C0	EXE2j_btlev0a_btlev0a_init
0x140AA59C0	EXE2j_btlev0a_btlev0a_move
0x140AA5AB0	EXE2j_btlev0a_btlev0a_check
0x140AA5BA0	EXE2j_btlev0a_btlev0a_check_00
0x140AA5E90	EXE2j_btlev0a_btlev0a_check_01
0x140AA6010	EXE2j_btlev0a_btlev0a_check_02
0x140AA62A0	EXE2j_btlev0a_btlev0a_telop
0x140AA64D0	EXE2j_btlev0a_btlev0a_pl_erase
0x140AA67B0	EXE2j_btlev0a_btlev0a_hart
0x140AA6A80	EXE2j_btlev0a_btlev0a_pl_entry
0x140AA6BC0	EXE2j_btlev0a_btlev0a_exit
0x14091AE80	EXE2j_btlev0b_BattleEvent0bMove
0x14091AF70	EXE2j_btlev0b_event0b_init
0x14091B1B0	EXE2j_btlev0b_event0b_move
