0x140C1A780	EXE3w_btlev02_btlev02_init
0x140C1A9B0	EXE3w_btlev02_btlev02_move
0x140C1AAA0	EXE3w_btlev02_btlev02_move00
0x140C1ACC0	EXE3w_btlev02_btlev02_move01
0x140C1AE90	EXE3w_btlev02_btlev02_exit
0x141431D10	EXE3w_btlev03_BattleEvent03Move
0x141431E60	EXE3w_btlev03_event03_init
0x1414320A0	EXE3w_btlev03_event03_move_00
0x1414323B0	EXE3w_btlev03_event03_move_01
0x141432580	EXE3w_btlev03_event03_exit
0x140C509A0	EXE3w_btlev04_BattleEvent04Move
0x140C50A90	EXE3w_btlev04_event04_init
0x140C50CF0	EXE3w_btlev04_event04_move
0x140C50DE0	EXE3w_btlev04_event04_telop
0x140C50FF0	EXE3w_btlev04_event04_efc
0x140C51190	EXE3w_btlev04_event04_fade
0x140C51360	EXE3w_btlev04_event04_exit
0x14140E090	EXE3w_btlev05_BattleEvent05Move
0x14140E180	EXE3w_btlev05_event05_init
0x14140E3C0	EXE3w_btlev05_event05_move
0x14140E4B0	EXE3w_btlev05_event05_appear
0x14140E730	EXE3w_btlev05_event05_set
0x14140EB70	EXE3w_btlev05_event05_fade
0x14140ED40	EXE3w_btlev05_event05_exit
0x140DCF910	EXE3w_btlev06_BattleEvent06Move
0x140DCFA00	EXE3w_btlev06_btlev06_move
0x140DCFAF0	EXE3w_btlev06_btlev06_pl_erase
0x14105E900	EXE3w_btlev07_BattleEvent07Move
0x14105E9F0	EXE3w_btlev07_btlev07_move
0x14105EAE0	EXE3w_btlev07_btlev07_telop
0x14105ECE0	EXE3w_btlev07_btlev07_pl_erase
0x14105EF80	EXE3w_btlev07_btlev07_pl_entry
0x140B59FC0	EXE3w_btlev08_BattleEvent08Move
0x140B5A0B0	EXE3w_btlev08_btlev08_init
0x140B5A380	EXE3w_btlev08_btlev08_move
0x140B5A470	EXE3w_btlev08_btlev08_telop
0x140B5A690	EXE3w_btlev08_btlev08_exit
0x1413605A0	EXE3w_btlev09_BattleEvent09Move
0x141360690	EXE3w_btlev09_btlev09_move
0x141360780	EXE3w_btlev09_btlev09_pl_erase
0x1413B67A0	EXE3w_btlev0a_BattleEvent0aMove
0x1413B6890	EXE3w_btlev0a_btlev0a_move
0x1413B6980	EXE3w_btlev0a_btlev0a_pl_erase
0x14114BB70	EXE3w_btlev0b_BattleEvent0bMove
0x14114BC60	EXE3w_btlev0b_event0b_init
0x14114BEA0	EXE3w_btlev0b_event0b_move
0x14114BF90	EXE3w_btlev0b_event0b_set
0x14114C1E0	EXE3w_btlev0b_event0b_fade
0x14114C3B0	EXE3w_btlev0b_event0b_exit
0x1410F14B0	EXE3w_btlev0c_BattleEvent0cMove
0x1410F15A0	EXE3w_btlev0c_event0c_init
0x1410F17E0	EXE3w_btlev0c_event0c_move
0x1410F18D0	EXE3w_btlev0c_event0c_set
0x1410F1AC0	EXE3w_btlev0c_event0c_fade
0x1410F1C90	EXE3w_btlev0c_event0c_exit
0x141346F60	EXE3w_btlev0d_BattleEvent0dMove
0x141347050	EXE3w_btlev0d_event0d_init
0x141347290	EXE3w_btlev0d_event0d_move
0x141347380	EXE3w_btlev0d_event0d_telop
0x1413475D0	EXE3w_btlev0d_event0d_efc
0x141347770	EXE3w_btlev0d_event0d_fade
0x141347940	EXE3w_btlev0d_event0d_exit
0x140E0D8F0	EXE3w_btlev0e_BattleEvent0eMove
0x140E0D9E0	EXE3w_btlev0e_btlev0e_move
0x140E0DAD0	EXE3w_btlev0e_btlev0e_pl_erase
0x140D37210	EXE3w_btlev0f_BattleEvent0fMove
0x140D37300	EXE3w_btlev0f_event0f_init
0x140D37530	EXE3w_btlev0f_event0f_move
0x140D37620	EXE3w_btlev0f_event0f_telop
0x140D377D0	EXE3w_btlev0f_event0f_efc
0x140D37960	EXE3w_btlev0f_event0f_fade
0x140D37B30	EXE3w_btlev0f_event0f_exit
0x140C2FA40	EXE3w_btlev10_BattleEvent10Move
0x140C2FB30	EXE3w_btlev10_btlev10_init
0x140C2FE00	EXE3w_btlev10_btlev10_move
