0x1405874A0	EXE4r_block_BlockTransSubNoEdge
0x1405877F0	EXE4r_block_BlockColorTrans
0x140588180	EXE4r_block_block_check_sub
0x140588B90	EXE4r_block_block_area_stile_check
0x1405898F0	EXE4r_block_BlockDirectTrans
0x140589BE0	EXE4r_block_BlockFlashFlagClear
0x140428BF0	EXE4r_blocksubw_BlockWorkRefreshAllWram
0x140428FE0	EXE4r_blocksubw_BlockWorkRefreshWram
0x140429310	EXE4r_blocksubw_BlockAdrsGetWram
0x1404295E0	EXE4r_blocksubw_BattleHitStatusCheckWram
0x140365770	EXE4r_block_sub_BlockWorkInit
0x140365810	EXE4r_block_sub_BlockStatusSet
0x1403658E0	EXE4r_block_sub_BlockStatusGet
0x1403659B0	EXE4r_block_sub_BlockStatusOn
0x140365AC0	EXE4r_block_sub_BlockStatusOff
0x140365BD0	EXE4r_block_sub_BlockAdrsGet
0x140365C90	EXE4r_block_sub_BlockWorkRefreshAll
0x140365D50	EXE4r_block_sub_BlockWorkRefresh
0x140365E10	EXE4r_block_sub_BlockCrackSet
0x140366120	EXE4r_block_sub_BlockCrackSet2
0x1403663F0	EXE4r_block_sub_BlockOutSet
0x140366640	EXE4r_block_sub_BlockOutSet2
0x140366920	EXE4r_block_sub_BlockOutSet3
0x140366C10	EXE4r_block_sub_BlockOutSet4
0x140366E70	EXE4r_block_sub_BlockOutSet5
0x140367180	EXE4r_block_sub_BlockPoisonSet
0x140367340	EXE4r_block_sub_BlockFlash
0x1403674B0	EXE4r_block_sub_BlockTypeChange
0x1403676B0	EXE4r_block_sub_BlockTypeChangeNormalOnly
0x140367970	EXE4r_block_sub_BlockPlEmChange
0x140367B70	EXE4r_block_sub_BlockPlEmTimerSet
0x140367C60	EXE4r_block_sub_BlockTransSet
0x140367EC0	EXE4r_block_sub_BlockTransOn
0x140368020	EXE4r_block_sub_BlockTransOff
0x140368180	EXE4r_block_sub_BlockInScreenCheck
0x140368250	EXE4r_block_sub_BlockInScreenCheckSub
0x1403683C0	EXE4r_block_sub_BlockMoveCheck
0x140368590	EXE4r_block_sub_BlockExistCheck
0x140368660	EXE4r_block_sub_BlockExistCheckSub
0x140368760	EXE4r_block_sub_HitBlockFlash
0x140368870	EXE4r_block_sub_HitBlockFlashSub
0x140368DD0	EXE4r_block_sub_BlockTypeNumGet
0x140369310	EXE4r_block_sub_BlockTypeExceptNumGet
0x140238990	EXE4r_block_sub1_RandomMoveBlockGet
0x140239110	EXE4r_block_sub1_RandomMoveBlockGet2
0x140239840	EXE4r_block_sub1_BlockCodeGetBlockX_noY_Auto
0x140239C10	EXE4r_block_sub1_BlockCodeGetBlockX_noY
0x14023A1F0	EXE4r_block_sub1_BlockCodeGetNoBlockY
0x14023A900	EXE4r_block_sub1_BlockCodeGetBlockX
0x14023B050	EXE4r_block_sub1_BlockCodeGetBlockY
0x14023B790	EXE4r_block_sub1_BlockCodeGetNoBlockX
0x14023BE90	EXE4r_block_sub1_GetPlBlockY
0x14023BFD0	EXE4r_block_sub1_GetPlBlockXY
0x14023C150	EXE4r_block_sub1_CheckLineHeadBlock
0x14023C880	EXE4r_block_sub1_GetHeadBlockX
0x14023CF30	EXE4r_block_sub1_CheckForwordBlock
0x140797790	EXE4r_block_sub2_BlockXPlEmCheck
0x140797D30	EXE4r_block_sub2_BlockHideCheck
0x14046AC50	EXE4r_bombe_BombeInit
0x14046AF40	EXE4r_bombe_BombeProcStop
0x14046B250	EXE4r_bombe_BombeProcExec
0x14046B560	EXE4r_bombe_BombeDispOn
0x14046B870	EXE4r_bombe_BombeDispOff
0x14046BB80	EXE4r_bombe_BombeDisp
0x14046C610	EXE4r_bombe_bombe_disp_check
0x14046C980	EXE4r_bombe_bombe_disp_check2
0x14046CB60	EXE4r_bombe_bombe_rec_check
0x14046D050	EXE4r_bombe_bubble_check
0x140110E80	EXE4r_bombgame_BombGameInit
0x140111290	EXE4r_bombgame_BombGameCheck
0x140111550	EXE4r_bombgame_bomb_game_init
0x140112180	EXE4r_bombgame_bomb_game_countdown
0x140112FF0	EXE4r_bombgame_bomb_game_next
0x140113300	EXE4r_bombgame_bomb_game_end
0x140113500	EXE4r_bombgame_bomb_clear_sub
0x1403740F0	EXE4r_bosscomm_BossCommonEntry
0x140374260	EXE4r_bosscomm_BossCommonOut
0x140374350	EXE4r_bosscomm_boss_common_out_00
0x1403744B0	EXE4r_bosscomm_boss_common_out_01
0x140374820	EXE4r_bosscomm_BossCommonOut2
0x140374910	EXE4r_bosscomm_boss_common_out2_01
0x140374BA0	EXE4r_bosscomm_boss_common_out2_02
0x140374D40	EXE4r_bosscomm_BossCommonStagger
0x140375130	EXE4r_bosscomm_BossCommonForceShift
0x1403751D0	EXE4r_bosscomm_BossCommonPalsy
0x140375490	EXE4r_bosscomm_BossCommonExit
0x1403756B0	EXE4r_bosscomm_BossCommonMoveInit
0x140375750	EXE4r_bosscomm_BossCommonBlow
0x140375840	EXE4r_bosscomm_BossCommonBlow_00
0x140375D60	EXE4r_bosscomm_BossCommonBlow_01
0x140376320	EXE4r_bosscomm_BossCommonBlow_02
0x1405B9790	EXE4r_btlev00_BattleEvent00Move
0x140687290	EXE4r_btlev_sub_BattleEventStatusSet
0x1406873A0	EXE4r_btlev_sub_BattleEventStatusGet
0x140687460	EXE4r_btlev_sub_BattleEventReset
0x1406875D0	EXE4r_btlev_sub_BattleEventPrioSet
0x140687770	EXE4r_btlev_sub_BattleEventPrioCheck
0x1406878F0	EXE4r_btlev_sub_BattleEventFirstSetCheck
