0x14134B7A0	EXE5p_bs01atk_bs01_delta_lay_edge_07
0x14134B970	EXE5p_bs01atk_bs01_delta_lay_edge_08
0x14134BBC0	EXE5p_bs01atk_Navi07_DLE_EfcSet
0x14134BC50	EXE5p_bs01atk_bs01_DLE_efc_set
0x14134BED0	EXE5p_bs01atk__bs01_delta_lay_edge_atari_set
0x14134C2F0	EXE5p_bs01atk_Bs01AtkDarkEdge
0x14134C3E0	EXE5p_bs01atk_bs01_dark_edge_00
0x14134C6C0	EXE5p_bs01atk_bs01_dark_edge_01
0x14134C790	EXE5p_bs01atk_bs01_dark_edge_02
0x14134C8A0	EXE5p_bs01atk_bs01_dark_edge_03
0x14134CB50	EXE5p_bs01atk_bs01_dark_edge_04
0x14134CD40	EXE5p_bs01atk_bs01_dark_edge_05
0x14134D0C0	EXE5p_bs01atk_bs01_dark_edge_06
0x14134D2B0	EXE5p_bs01atk_bs01_dark_edge_07
0x14134D4F0	EXE5p_bs01atk_bs01_dark_edge_08
0x14134D760	EXE5p_bs01atk_bs01_dark_edge_09
0x14134D990	EXE5p_bs01atk_bs01_dark_edge_blues_shadow_set
0x14134DDE0	EXE5p_bs01atk_bs01_dark_edge_shift_pos_check
0x14134E050	EXE5p_bs01atk__bs01_dark_edge_atari_set
0x14134E460	EXE5p_bs01atk_Bs01AtkShield
0x14134E590	EXE5p_bs01atk_bs01_shield_00
0x14134EB20	EXE5p_bs01atk_Bs01AtkShadowSlash
0x14134EC10	EXE5p_bs01atk_bs01_shadow_slash_00
0x14134ED80	EXE5p_bs01atk_bs01_shadow_slash_blues_shadow_set
0x14134EFA0	EXE5p_bs01atk_Bs01AtkShadowSwordShift
0x14134F090	EXE5p_bs01atk_bs01_shadow_sword_shift_00
0x14134F470	EXE5p_bs01atk_bs01_shadow_sword_shift_01
0x14134F780	EXE5p_bs01atk_bs01_shadow_sword_shift_02
0x14134F940	EXE5p_bs01atk_bs01_shadow_sword_shift_03
0x14134FA20	EXE5p_bs01atk__bs01_wide_sword_blues_shadow_set
0x14134FCF0	EXE5p_bs01atk__bs01_fighter_sword_blues_shadow_set
0x14134FFC0	EXE5p_bs01atk_Bs01ShadowSlashPosCheck
0x141350700	EXE5p_bs01atk_Bs01ShadowSwordShiftPosCheck
0x1412F0020	EXE5p_bs02act_Bs02ActCheck
0x1412F0230	EXE5p_bs02act_bs02_act_check_00
0x1412F04F0	EXE5p_bs02act_bs02_act_check_01
0x1412F0B10	EXE5p_bs02act_bs02_act_check_02
0x1412F1110	EXE5p_bs02act_bs02_act_check_03
0x1412F1200	EXE5p_bs02act_Bs02InitProc
0x1412F1280	EXE5p_bs02act_Bs02StaggerInitProc
0x1412F1350	EXE5p_bs02act_bs02_shift_wait_check
0x1412F1500	EXE5p_bs02act_bs02_counter_start_check
0x1412F15B0	EXE5p_bs02act_bs02_cutter_wait_check
0x1412F16F0	EXE5p_bs02act_bs02_tornado_start_check
0x1412F17A0	EXE5p_bs02act_bs02_set_str
0x140CC6590	EXE5p_bs02atk_Bs02AtkShift
0x140CC66E0	EXE5p_bs02atk_bs02_shift_00
0x140CC6960	EXE5p_bs02atk_bs02_shift_01
0x140CC6B40	EXE5p_bs02atk_bs02_shift_02
0x140CC6D60	EXE5p_bs02atk_Bs02AtkGyroCutter
0x140CC6EB0	EXE5p_bs02atk_bs02_gyro_cutter_00
0x140CC6FE0	EXE5p_bs02atk_bs02_gyro_cutter_01
0x140CC7240	EXE5p_bs02atk_bs02_gyro_cutter_02
0x140CC7420	EXE5p_bs02atk_bs02_gyro_cutter_03
0x140CC75E0	EXE5p_bs02atk_bs02_gyro_cutter_04
0x140CC7A20	EXE5p_bs02atk_bs02_gyro_cutter_05
0x140CC7B60	EXE5p_bs02atk_bs02_gyro_cutter_06
0x140CC7CA0	EXE5p_bs02atk_bs02_gyro_cutter_07
0x140CC7E90	EXE5p_bs02atk_Bs02AtkTornadoArm
0x140CC7FE0	EXE5p_bs02atk_bs02_tornado_arm_00
0x140CC8190	EXE5p_bs02atk_bs02_tornado_arm_01
0x140CC83E0	EXE5p_bs02atk_bs02_tornado_arm_02
0x140CC85C0	EXE5p_bs02atk_bs02_tornado_arm_03
0x140CC8780	EXE5p_bs02atk_bs02_tornado_arm_04
0x140CC8A60	EXE5p_bs02atk_bs02_tornado_arm_05
0x140CC8DC0	EXE5p_bs02atk_bs02_tornado_arm_06
0x140CC8FE0	EXE5p_bs02atk_Bs02AtkGyroAirForce
0x140CC9130	EXE5p_bs02atk_bs02_gyro_airforce_00
0x140CC92E0	EXE5p_bs02atk_bs02_gyro_airforce_01
0x140CC9600	EXE5p_bs02atk_bs02_gyro_airforce_02
0x140CC97E0	EXE5p_bs02atk_bs02_gyro_airforce_03
0x140CC99A0	EXE5p_bs02atk_bs02_gyro_airforce_04
0x140CC9CB0	EXE5p_bs02atk_bs02_gyro_airforce_05
0x140CCA1D0	EXE5p_bs02atk_bs02_gyro_airforce_06
0x140CCA390	EXE5p_bs02atk_bs02_gyro_airforce_07
0x140CCA560	EXE5p_bs02atk_bs02_gyro_airforce_08
0x140CCA750	EXE5p_bs02atk_Bs02AtkGyroCounter
0x140CCA840	EXE5p_bs02atk_bs02_gyro_counter_00
0x140CCABC0	EXE5p_bs02atk_bs02_gyro_counter_01
0x140CCAFD0	EXE5p_bs02atk_bs02_gyro_counter_02
0x140CCB1C0	EXE5p_bs02atk_bs02_gyro_counter_03
0x140CCB400	EXE5p_bs02atk_Bs02ShiftPosCheck
0x140CCB7B0	EXE5p_bs02atk_Bs02GyroCutterShiftPosCheck
0x140CCBC20	EXE5p_bs02atk_Bs02GyroCutterShiftPosCheck2
0x140CCC2F0	EXE5p_bs02atk_Bs02TornadoArmShiftPosCheck
0x140CCC6F0	EXE5p_bs02atk_bs02_set_shl1b
0x140FDE050	EXE5p_bs03act_Bs03ActCheck
0x140FDE260	EXE5p_bs03act_bs03_act_check_00
0x140FDE5B0	EXE5p_bs03act_bs03_act_check_01
0x140FDEBB0	EXE5p_bs03act_bs03_act_check_02
0x140FDED80	EXE5p_bs03act_bs03_act_check_03
0x140FDF040	EXE5p_bs03act_bs03_act_check_04
0x140FDF130	EXE5p_bs03act_Bs03InitProc
0x140FDF230	EXE5p_bs03act_Bs03Proc
0x140FDF400	EXE5p_bs03act_Bs03PalsyInitProc
0x140FDF430	EXE5p_bs03act_Bs03StaggerInitProc
0x140FDF460	EXE5p_bs03act_Bs03BlowInitProc
0x140FDF650	EXE5p_bs03act_Bs03Out
0x140FDF750	EXE5p_bs03act_bs03_search_grenade_set
0x140FDF9C0	EXE5p_bs03act_bs03_scope_gun_set
