0x1401D6860	EXE4b_bgefc06_BgEfc06Stop
0x1401D6B90	EXE4b_bgefc06_bgefc06_init
0x1401D6F20	EXE4b_bgefc06_l0a_20000
0x1401D6F50	EXE4b_bgefc06_l0b_20001
0x1401D6F80	EXE4b_bgefc06_l0c_20002
0x1401D71C0	EXE4b_bgefc06_l0d_20003
0x1401D71F0	EXE4b_bgefc06_l0e_20004
0x1401D7220	EXE4b_bgefc06_l0f_20005
0x1401D7460	EXE4b_bgefc06_bgefc06_main
0x1401D76A0	EXE4b_bgefc06_bgefc06_disp_sub
0x1407CFA50	EXE4b_bgefc08_BgEfc08Move
0x1407CFCA0	EXE4b_bgefc08_BgEfc08Stop
0x1407CFFD0	EXE4b_bgefc08_bgefc08_init
0x1407D0360	EXE4b_bgefc08_bgefc08_main
0x1407D07A0	EXE4b_bgefc08_bgefc08_main2
0x1407D0AE0	EXE4b_bgefc08_bgefc08_main3
0x1407D0EF0	EXE4b_bgefc08_bgefc08_disp_sub
0x140712FA0	EXE4b_bgefc09_BgEfc09Move
0x1407131F0	EXE4b_bgefc09_BgEfc09Stop
0x140713520	EXE4b_bgefc09_bgefc09_init
0x1407139C0	EXE4b_bgefc09_bgefc09_main
0x140713E00	EXE4b_bgefc09_bgefc09_main2
0x140714140	EXE4b_bgefc09_bgefc09_main3
0x140714340	EXE4b_bgefc09_bgefc09_main4
0x140714760	EXE4b_bgefc09_bgefc09_main5
0x1407149D0	EXE4b_bgefc09_bgefc09_disp_sub
0x140714D20	EXE4b_bgefc09_bgefc09_disp_sub2
0x1403C8740	EXE4b_bgefc0a_BgEfc0aMove
0x1403C8AD0	EXE4b_bgefc0a_BgEfc0aStop
0x1403C8D40	EXE4b_bgefc0a_bgefc0a_init
0x1403C9110	EXE4b_bgefc0a_bgefc0a_main
0x1403C93B0	EXE4b_bgefc0a_bgefc0a_main00
0x1403C9930	EXE4b_bgefc0a_bgefc0a_main01
0x1403C9DC0	EXE4b_bgefc0a_bgefc0a_disp_sub
0x1404FFDC0	EXE4b_bgefc0b_BgEfc0bMove
0x140500010	EXE4b_bgefc0b_BgEfc0bStop
0x140500340	EXE4b_bgefc0b_bgefc0b_init
0x140500770	EXE4b_bgefc0b_bgefc0b_main
0x140500B20	EXE4b_bgefc0b_bgefc0b_disp_sub
0x140500EC0	EXE4b_bgefc0b_bgefc0b_disp_sub2
0x1406B5E00	EXE4b_bgefc0c_BgEfc0cMove
0x1406B6110	EXE4b_bgefc0c_BgEfc0cStop
0x1406B6440	EXE4b_bgefc0c_bgefc0c_init
0x1406B67A0	EXE4b_bgefc0c_bgefc0c_main
0x140579FE0	EXE4b_bgefc0d_BgEfc0dMove
0x14057A230	EXE4b_bgefc0d_BgEfc0dStop
0x14057A560	EXE4b_bgefc0d_bgefc0d_init
0x14057A8F0	EXE4b_bgefc0d_bgefc0d_entry
0x14057AD30	EXE4b_bgefc0d_bgefc0d_main
0x14057B150	EXE4b_bgefc0d_bgefc0d_exit
0x14057B350	EXE4b_bgefc0d_bgefc0d_disp_sub
0x14057B770	EXE4b_bgefc0d_bgefc0d_se_call
0x14071E9A0	EXE4b_bgefc_sub_BgEfcPrint2
0x14071EB90	EXE4b_bgefc_sub_BgEfcPrint
0x1407478F0	EXE4b_bgtrans_BgCharInit
0x140748010	EXE4b_bgtrans_BgCharInitBattle
0x1407480D0	EXE4b_bgtrans_BgCharSet
0x1407488D0	EXE4b_bgtrans_BgScrollCharUncomp
0x140748D60	EXE4b_bgtrans_BgScrollCharSet
0x1407492C0	EXE4b_bgtrans_BgCharMove
0x140749AA0	EXE4b_bgtrans_local_GetBgScrnDataField
0x140749E60	EXE4b_bgtrans_local_PutBgScrnDataField
0x14074A270	EXE4b_bgtrans_local_PutBgScrnDataBattle
0x14074A2A0	EXE4b_bgtrans_local_PutBgScrnDataField_2
0x14074A4E0	EXE4b_bgtrans_local_PutBgScrnDataField_3
0x14074A720	EXE4b_bgtrans_local_BgScrnDataTransXsub
0x14074B170	EXE4b_bgtrans_local_BgScrnDataTransXadd
0x14074BBB0	EXE4b_bgtrans_local_BgScrnDataTransYsub
0x14074C600	EXE4b_bgtrans_local_BgScrnDataTransYadd
0x1403A2C60	EXE4b_bgtrans2_local_BgScrnInit
0x1403A3860	EXE4b_bgtrans2_local_BgScrnInitAll
0x1403A3940	EXE4b_bgtrans2_local_BgScrnInitAll_2
0x1403A3A20	EXE4b_bgtrans2_local_BgScrnInitAll_3
0x1405F0010	EXE4b_bgwram_local_BgPrintXYLimitWram
0x1405F0500	EXE4b_bgwram_local_BgPrintXYLimitWramByte
0x1405F09F0	EXE4b_bgwram_local_BgClearXYLimitWram
0x1405F0E90	EXE4b_bgwram_local_BgClearXYLimitWramByte
0x1405F1310	EXE4b_bgwram_local_ColFadeTransWram
0x1405F16E0	EXE4b_bgwram_add_blend
0x1405F18E0	EXE4b_bgwram_sub_blend
0x1405F1B10	EXE4b_bgwram_local_ColFadeTransWram2
0x1405F1EC0	EXE4b_bgwram_add_blend2
0x1405F25E0	EXE4b_bgwram_sub_blend2
0x14029DFF0	EXE4b_bg_sub_BgPrint
0x14029E1C0	EXE4b_bg_sub_BgPrintXYLimit
0x14029E340	EXE4b_bg_sub_BgPrintXYLimitByte
0x14029E4C0	EXE4b_bg_sub_BgClearXYLimit
0x14029E640	EXE4b_bg_sub_BgClearXYLimitByte
0x14029E7C0	EXE4b_bg_sub_BgPrintXLoop
0x14029EC70	EXE4b_bg_sub_BgPrintYLoop
0x140773F20	EXE4b_bg_sub2_BgScrollProcSet
0x1407740D0	EXE4b_bg_sub2_BgScrollProcReset
0x140774240	EXE4b_bg_sub2_BgScrollProc
0x140774310	EXE4b_bg_sub2_BgScrollProcVBlank
0x1407743E0	EXE4b_bg_sub2_Type00VBlank
0x140774420	EXE4b_bg_sub2_Type01VBlank
0x1407745F0	EXE4b_bg_sub2_Type01VBlank2
0x1407747C0	EXE4b_bg_sub2_Type02VBlank
0x1407748F0	EXE4b_bg_sub2_Type02VBlank2
0x140774A20	EXE4b_bg_sub2_Type03VBlank
