0x1414560C0	EXE3w_btlbug_panel_change_sub
0x141456870	EXE3w_btlbug_CustomGaugeSpeedCheck
0x141456BE0	EXE3w_btlbug_CardOpenNumBugCheck
0x141248280	EXE3w_btlev00_BattleEvent00Move
0x1412483D0	EXE3w_btlev00_event00_init
0x141248610	EXE3w_btlev00_event00_move_00
0x141248B80	EXE3w_btlev00_event00_move_01
0x141248D50	EXE3w_btlev00_event00_exit
0x1414288D0	EXE3w_btlev01_BattleEvent01Move
0x1414289C0	EXE3w_btlev01_btlev01_init
0x141428CA0	EXE3w_btlev01_btlev01_move
0x141428D90	EXE3w_btlev01_btlev01_move00
0x141428F80	EXE3w_btlev01_btlev01_move01
0x141429170	EXE3w_btlev01_btlev01_move02
0x1414292A0	EXE3w_btlev01_btlev01_move03
0x141429390	EXE3w_btlev01_btlev01_move04
0x141429560	EXE3w_btlev01_btlev01_exit
0x1414297C0	EXE3w_btlev01_btlev01_exit2
0x140C1A480	EXE3w_btlev02_BattleEvent02Move
0x140C1A570	EXE3w_btlev02_btlev02_init
0x140C1A7A0	EXE3w_btlev02_btlev02_move
0x140C1A890	EXE3w_btlev02_btlev02_move00
0x140C1AAB0	EXE3w_btlev02_btlev02_move01
0x140C1AC80	EXE3w_btlev02_btlev02_exit
0x141431AF0	EXE3w_btlev03_BattleEvent03Move
0x141431C40	EXE3w_btlev03_event03_init
0x141431E80	EXE3w_btlev03_event03_move_00
0x141432190	EXE3w_btlev03_event03_move_01
0x141432360	EXE3w_btlev03_event03_exit
0x140C50790	EXE3w_btlev04_BattleEvent04Move
0x140C50880	EXE3w_btlev04_event04_init
0x140C50AE0	EXE3w_btlev04_event04_move
0x140C50BD0	EXE3w_btlev04_event04_telop
0x140C50DE0	EXE3w_btlev04_event04_efc
0x140C50F80	EXE3w_btlev04_event04_fade
0x140C51150	EXE3w_btlev04_event04_exit
0x14140DE70	EXE3w_btlev05_BattleEvent05Move
0x14140DF60	EXE3w_btlev05_event05_init
0x14140E1A0	EXE3w_btlev05_event05_move
0x14140E290	EXE3w_btlev05_event05_appear
0x14140E510	EXE3w_btlev05_event05_set
0x14140E950	EXE3w_btlev05_event05_fade
0x14140EB20	EXE3w_btlev05_event05_exit
0x140DCF700	EXE3w_btlev06_BattleEvent06Move
0x140DCF7F0	EXE3w_btlev06_btlev06_move
0x140DCF8E0	EXE3w_btlev06_btlev06_pl_erase
0x14105E6E0	EXE3w_btlev07_BattleEvent07Move
0x14105E7D0	EXE3w_btlev07_btlev07_move
0x14105E8C0	EXE3w_btlev07_btlev07_telop
0x14105EAC0	EXE3w_btlev07_btlev07_pl_erase
0x14105ED60	EXE3w_btlev07_btlev07_pl_entry
0x140B59DB0	EXE3w_btlev08_BattleEvent08Move
0x140B59EA0	EXE3w_btlev08_btlev08_init
0x140B5A170	EXE3w_btlev08_btlev08_move
0x140B5A260	EXE3w_btlev08_btlev08_telop
0x140B5A480	EXE3w_btlev08_btlev08_exit
0x141360380	EXE3w_btlev09_BattleEvent09Move
0x141360470	EXE3w_btlev09_btlev09_move
0x141360560	EXE3w_btlev09_btlev09_pl_erase
0x1413B6580	EXE3w_btlev0a_BattleEvent0aMove
0x1413B6670	EXE3w_btlev0a_btlev0a_move
0x1413B6760	EXE3w_btlev0a_btlev0a_pl_erase
0x14114B950	EXE3w_btlev0b_BattleEvent0bMove
0x14114BA40	EXE3w_btlev0b_event0b_init
0x14114BC80	EXE3w_btlev0b_event0b_move
0x14114BD70	EXE3w_btlev0b_event0b_set
0x14114BFC0	EXE3w_btlev0b_event0b_fade
0x14114C190	EXE3w_btlev0b_event0b_exit
0x1410F1290	EXE3w_btlev0c_BattleEvent0cMove
0x1410F1380	EXE3w_btlev0c_event0c_init
0x1410F15C0	EXE3w_btlev0c_event0c_move
0x1410F16B0	EXE3w_btlev0c_event0c_set
0x1410F18A0	EXE3w_btlev0c_event0c_fade
0x1410F1A70	EXE3w_btlev0c_event0c_exit
0x141346D40	EXE3w_btlev0d_BattleEvent0dMove
0x141346E30	EXE3w_btlev0d_event0d_init
0x141347070	EXE3w_btlev0d_event0d_move
0x141347160	EXE3w_btlev0d_event0d_telop
0x1413473B0	EXE3w_btlev0d_event0d_efc
0x141347550	EXE3w_btlev0d_event0d_fade
0x141347720	EXE3w_btlev0d_event0d_exit
0x140E0D6E0	EXE3w_btlev0e_BattleEvent0eMove
0x140E0D7D0	EXE3w_btlev0e_btlev0e_move
0x140E0D8C0	EXE3w_btlev0e_btlev0e_pl_erase
0x140D37000	EXE3w_btlev0f_BattleEvent0fMove
0x140D370F0	EXE3w_btlev0f_event0f_init
0x140D37320	EXE3w_btlev0f_event0f_move
0x140D37410	EXE3w_btlev0f_event0f_telop
0x140D375C0	EXE3w_btlev0f_event0f_efc
0x140D37750	EXE3w_btlev0f_event0f_fade
0x140D37920	EXE3w_btlev0f_event0f_exit
0x140C2F830	EXE3w_btlev10_BattleEvent10Move
0x140C2F920	EXE3w_btlev10_btlev10_init
0x140C2FBF0	EXE3w_btlev10_btlev10_move
0x140C2FCE0	EXE3w_btlev10_btlev10_telop
0x140C2FF30	EXE3w_btlev10_btlev10_sikake_set
0x140C300A0	EXE3w_btlev10_btlev10_exit
0x140C302E0	EXE3w_btlev10_btlev10_sikake_set_sub
0x140C30690	EXE3w_btlev10_sikake_type00_set
0x141215960	EXE3w_btlev11_BattleEvent11Move
0x141215A50	EXE3w_btlev11_btlev11_init
0x141215D70	EXE3w_btlev11_btlev11_move
0x141215E60	EXE3w_btlev11_btlev11_check
0x141215F90	EXE3w_btlev11_btlev11_telop
0x141216130	EXE3w_btlev11_btlev11_pl_erase
0x1412163F0	EXE3w_btlev11_btlev11_pl_entry
0x141216580	EXE3w_btlev11_btlev11_exit
0x140E10420	EXE3w_btlev12_BattleEvent12Move
0x140E10510	EXE3w_btlev12_event12_init
0x140E10770	EXE3w_btlev12_event12_move
0x140E10860	EXE3w_btlev12_event12_appear
0x140E10C10	EXE3w_btlev12_event12_set
0x140E10FB0	EXE3w_btlev12_event12_fade
0x140E11180	EXE3w_btlev12_event12_exit
0x140C7D3E0	EXE3w_btlev13_BattleEvent13Move
0x140C7D4D0	EXE3w_btlev13_event13_init
0x140C7D710	EXE3w_btlev13_event13_move
0x140C7D800	EXE3w_btlev13_event13_appear
0x140C7D9D0	EXE3w_btlev13_event13_set
0x140C7DC20	EXE3w_btlev13_event13_fade
0x140C7DE30	EXE3w_btlev13_event13_exit
0x140C7FF00	EXE3w_btlev14_BattleEvent14Move
0x140C7FFF0	EXE3w_btlev14_btlev14_move
0x140C800E0	EXE3w_btlev14_btlev14_pl_erase
0x140BB1FA0	EXE3w_btlev15_BattleEvent15Move
0x140BB2090	EXE3w_btlev15_event15_init
0x140BB22D0	EXE3w_btlev15_event15_move
0x140BB23C0	EXE3w_btlev15_event15_telop
0x140BB25C0	EXE3w_btlev15_event15_efc
0x140BB27A0	EXE3w_btlev15_event15_fade
0x140BB2970	EXE3w_btlev15_event15_exit
0x140BB2AD0	EXE3w_btlev15_event15_panel_blink
0x140BB33C0	EXE3w_btlev15_event15_punish_set
0x1410C6EB0	EXE3w_btlev16_BattleEvent16Move
0x1410C7000	EXE3w_btlev16_event16_init
0x1410C7240	EXE3w_btlev16_event16_move_00
0x1410C7470	EXE3w_btlev16_event16_move_01
