0x140962930	EXE2j_blocksub1_BlockRightEndLineGet2
0x140962DF0	EXE2j_blocksub1_BlockLineBackEndGet
0x140962EF0	EXE2j_blocksub1_BlockMoveCheck
0x140963040	EXE2j_blocksub1_BlockAllCheckY
0x140963370	EXE2j_blocksub1_CodeToBlock
0x140963470	EXE2j_blocksub1_BlockToCode
0x140963530	EXE2j_blocksub1_BlockExistCheck
0x140963660	EXE2j_blocksub1_BlockTypeNumGet
0x140854980	EXE2j_blocksubw_BlockWorkRefreshAllWram
0x140854BB0	EXE2j_blocksubw_BlockWorkRefreshWram
0x140855180	EXE2j_blocksubw_BattleHitStatusCheck
0x1408554D0	EXE2j_blocksubw_BattleHitBuffAddSubWram
0x140855840	EXE2j_blocksubw_BattleHitBuffDelSubWram
0x140855CC0	EXE2j_blocksubw_BlockChangeAttrCheckWram
0x140856290	EXE2j_blocksubw_BlockStatusSetWram
0x140856450	EXE2j_blocksubw_BlockStatusGetWram
0x1408566E0	EXE2j_blocksubw_BlockStatusOnWram
0x1408568B0	EXE2j_blocksubw_BattleHitCheckBlock_subWram
0x140856CC0	EXE2j_blocksubw_inv_attr_checkWram
0x140856E30	EXE2j_blocksubw_shadow_attr_checkWram
0x140856FA0	EXE2j_blocksubw_BattleHitAllSetWram
0x1409BCB00	EXE2j_btlev00_BattleEvent00Move
0x1409BCC50	EXE2j_btlev00_event00_init
0x1409BCE90	EXE2j_btlev00_event00_move_00
0x1409BD400	EXE2j_btlev00_event00_move_01
0x1409BD5D0	EXE2j_btlev00_event00_exit
0x140AF9110	EXE2j_btlev01_BattleEvent01Move
0x140AF9200	EXE2j_btlev01_btlev01_init
0x140AF94E0	EXE2j_btlev01_btlev01_move
0x140AF95D0	EXE2j_btlev01_btlev01_move00
0x140AF97C0	EXE2j_btlev01_btlev01_move01
0x140AF99B0	EXE2j_btlev01_btlev01_move02
0x140AF9AE0	EXE2j_btlev01_btlev01_move03
0x140AF9BD0	EXE2j_btlev01_btlev01_move04
0x140AF9DA0	EXE2j_btlev01_btlev01_exit
0x140AFA000	EXE2j_btlev01_btlev01_exit2
0x1405358E0	EXE2j_btlev02_BattleEvent02Move
0x1405359D0	EXE2j_btlev02_btlev02_init
0x140535C00	EXE2j_btlev02_btlev02_move
0x140535CF0	EXE2j_btlev02_btlev02_move00
0x140535EF0	EXE2j_btlev02_btlev02_move01
0x1405360C0	EXE2j_btlev02_btlev02_exit
