0x140EFBFF0	EXE5c_bs01act_Bs01FighterSwordShiftPosCheck
0x140EFC0C0	EXE5c_bs01act_Bs01FighterSwordShiftPosCheckNormal
0x140EFC370	EXE5c_bs01act_Bs01FighterSwordShiftPosCheckBlindConf
0x140EFC6D0	EXE5c_bs01act_Bs01InitProc
0x140EFC8E0	EXE5c_bs01act__bs01_sword_kind_check
0x140EFCBA0	EXE5c_bs01act__bs01_conbination_num_check
0x140EFCD20	EXE5c_bs01act__bs01_surprize_sword_exec_check
0x140EFCEA0	EXE5c_bs01act__bs01_area_steal_check
0x140EFD140	EXE5c_bs01act__bs01_area_steal_exec_check
0x140EFD280	EXE5c_bs01act_bs01_sword_col_set
0x1413465F0	EXE5c_bs01atk_Bs01AtkShift
0x141B54F80	EXE5c_bs01atk_bs01_shift_00
0x141B55260	EXE5c_bs01atk_bs01_shift_01
0x141346C30	EXE5c_bs01atk_bs01_shift_02
0x141B554D0	EXE5c_bs01atk_bs01_shift_03
0x141346F00	EXE5c_bs01atk_Bs01AtkSurprizeSword
0x141B555E0	EXE5c_bs01atk_bs01_surprize_sword_00
0x141B55A30	EXE5c_bs01atk_bs01_surprize_sword_01
0x141B55DC0	EXE5c_bs01atk_bs01_surprize_sword_02
0x141B55FC0	EXE5c_bs01atk_bs01_surprize_sword_03
0x141347EC0	EXE5c_bs01atk_bs01_surprize_sword_04
0x141348130	EXE5c_bs01atk_bs01_surprize_sword_05
0x141B564B0	EXE5c_bs01atk_bs01_surprize_sword_06
0x141B56830	EXE5c_bs01atk_bs01_surprize_sword_07
0x1413489D0	EXE5c_bs01atk__bs01_surprize_sword_shift_pos_check
0x141348BC0	EXE5c_bs01atk__bs01_wide_sword_shift_pos_check
0x141348CA0	EXE5c_bs01atk__bs01_wide_sword_shift_pos_check_normal
0x141348E80	EXE5c_bs01atk__bs01_wide_sword_shift_pos_check_blind_conf
0x141B56A70	EXE5c_bs01atk__bs01_wide_sword_atari_set
0x141B56AA0	EXE5c_bs01atk__bs01_surprize_sword_atari_set
0x141B56EC0	EXE5c_bs01atk__bs01_fighter_sword_atari_set
0x1413499D0	EXE5c_bs01atk_Bs01AtkDeltaLayEdge
0x141B572E0	EXE5c_bs01atk_bs01_delta_lay_edge_00
0x141349D90	EXE5c_bs01atk_bs01_delta_lay_edge_01
0x141B575B0	EXE5c_bs01atk_bs01_delta_lay_edge_02
0x14134A430	EXE5c_bs01atk_bs01_delta_lay_edge_03
0x141B577B0	EXE5c_bs01atk_bs01_delta_lay_edge_04
0x14134AA00	EXE5c_bs01atk_bs01_delta_lay_edge_05
0x141B57B50	EXE5c_bs01atk_bs01_delta_lay_edge_06
0x141B57DD0	EXE5c_bs01atk_bs01_delta_lay_edge_07
0x141B57FA0	EXE5c_bs01atk_bs01_delta_lay_edge_08
0x141B581F0	EXE5c_bs01atk_Navi07_DLE_EfcSet
0x141B58280	EXE5c_bs01atk_bs01_DLE_efc_set
0x141B58500	EXE5c_bs01atk__bs01_delta_lay_edge_atari_set
