0x1412A3B20	EXE5p_bgtrans_BgInScrCheck
0x1412A45A0	EXE5p_bgtrans_BgCharSet
0x1412A4DA0	EXE5p_bgtrans_BgScrollCharSet
0x1412A5150	EXE5p_bgtrans_BgCharMove
0x1412A5930	EXE5p_bgtrans_local_GetBgScrnDataField
0x1412A5CF0	EXE5p_bgtrans_local_PutBgScrnDataField
0x1412A6100	EXE5p_bgtrans_local_PutBgScrnDataBattle
0x1412A6130	EXE5p_bgtrans_local_PutBgScrnDataField_2
0x1412A6370	EXE5p_bgtrans_local_PutBgScrnDataField_3
0x1412A65B0	EXE5p_bgtrans_local_BgScrnDataTransXsub
0x1412A7000	EXE5p_bgtrans_local_BgScrnDataTransXadd
0x1412A7A40	EXE5p_bgtrans_local_BgScrnDataTransYsub
0x1412A8490	EXE5p_bgtrans_local_BgScrnDataTransYadd
0x140E35A70	EXE5p_bgtrans2_local_BgScrnInit
0x140E36670	EXE5p_bgtrans2_local_BgScrnInitAll
0x140E36950	EXE5p_bgtrans2_local_BgScrnInitAll_2_sub
0x141125D40	EXE5p_bgwram_local_BgPrintXYLimitWram
0x141126230	EXE5p_bgwram_local_BgPrintXYLimitWramByte
0x141126720	EXE5p_bgwram_local_BgClearXYLimitWram
0x141126BC0	EXE5p_bgwram_local_BgClearXYLimitWramByte
0x141127040	EXE5p_bgwram_local_ColFadeTransWram
0x141127410	EXE5p_bgwram_add_blend
0x141127610	EXE5p_bgwram_sub_blend
0x141127840	EXE5p_bgwram_local_ColFadeTransWram2
0x141127BF0	EXE5p_bgwram_add_blend2
0x141128310	EXE5p_bgwram_sub_blend2
0x1410A9B70	EXE5p_block_BlockTransInit
0x1410A9F50	EXE5p_block_BlockMove
0x1410AA4D0	EXE5p_block_BlockTransSub
0x1410AAB30	EXE5p_block_BlockTransSubFlash
0x1410AB000	EXE5p_block_BlockTransSubEdge
0x1410AB520	EXE5p_block_BlockTransSubNoEdge
0x1410AB9D0	EXE5p_block_BlockColorTrans
0x1410ABFD0	EXE5p_block_block_check_sub
0x1410ACA00	EXE5p_block_BattleBlockInit
0x1410AD770	EXE5p_block_BlockTrans
0x1410AE070	EXE5p_block_SetStealBlockCheckTable
0x1410AEA00	EXE5p_block__get_field_tbl_adrs
0x1410AEAB0	EXE5p_block__get_block_work_adrs
0x1410AEBD0	EXE5p_block__steal_block_exist_check
0x1410AF4A0	EXE5p_block__steal_block_check
0x1410B0850	EXE5p_block__steal_block_return
0x1410B0D90	EXE5p_block__set_steal_block_check_data
0x1410B12B0	EXE5p_block__check_area_return
0x1410B1A60	EXE5p_block__check_em_exist
0x1410B1FF0	EXE5p_block__set_plem_change_request
0x1410B2950	EXE5p_block__get_block_plem_work_adrs
0x140EF6400	EXE5p_blocksubw_BlockWorkRefreshAllWram
0x140EF67F0	EXE5p_blocksubw_BlockWorkRefreshWram
0x140EF6B50	EXE5p_blocksubw_BlockAdrsGetWram
0x140EF6DE0	EXE5p_blocksubw_BattleHitStatusCheckWram
0x140E01000	EXE5p_block_sub_BlockWorkInit
0x140E010A0	EXE5p_block_sub_BlockStatusGet
0x140E01170	EXE5p_block_sub_BlockAdrsGet
0x140E01230	EXE5p_block_sub_BlockWorkRefreshAll
0x140E012F0	EXE5p_block_sub_BlockWorkRefresh
0x140E013B0	EXE5p_block_sub_BlockCrackSet
0x140E01650	EXE5p_block_sub_BlockCrackSet2
0x140E018F0	EXE5p_block_sub_BlockOutSet
0x140E01B10	EXE5p_block_sub_BlockOutSet2
0x140E01DE0	EXE5p_block_sub_BlockOutSet3
0x140E02010	EXE5p_block_sub_BlockOutSet4
0x140E02240	EXE5p_block_sub_BlockOutSet5
0x140E02470	EXE5p_block_sub_BlockPoisonSet
0x140E02630	EXE5p_block_sub_BlockFlash
0x140E027B0	EXE5p_block_sub_BlockTypeChange
0x140E02A60	EXE5p_block_sub_BlockPlEmChange
0x140E02C70	EXE5p_block_sub_BlockPlEmTimerSet
0x140E02D40	EXE5p_block_sub_BlockPlEmTimerReset
0x140E02E60	EXE5p_block_sub_BlockTransSet
0x140E03040	EXE5p_block_sub_BlockInScreenCheck
0x140E03110	EXE5p_block_sub_BlockInScreenCheckSub
0x140E03280	EXE5p_block_sub_BlockMoveCheck
0x140E03450	EXE5p_block_sub_BlockExistCheck
0x140E03520	EXE5p_block_sub_BlockExistCheckSub
0x140E03620	EXE5p_block_sub_HitBlockFlash
0x140E03730	EXE5p_block_sub_HitBlockFlashSub
0x140E03C80	EXE5p_block_sub_BlockTypeNumGet
0x140E041D0	EXE5p_block_sub_BlockTypeNumGet2
0x140E048E0	EXE5p_block_sub_BlockTransOff
0x140E049D0	EXE5p_block_sub_BlockTransOn
0x140C76E60	EXE5p_block_sub1_RandomMoveBlockGet
0x140C775E0	EXE5p_block_sub1_RandomMoveBlockGet2
0x140C77D10	EXE5p_block_sub1_BlockCodeGetBlockX_noY_Auto
0x140C780E0	EXE5p_block_sub1_BlockCodeGetBlockX_noY
0x140C786C0	EXE5p_block_sub1_BlockCodeGetNoBlockX
0x140C78DB0	EXE5p_block_sub1_BlockCodeGetNoBlockY
0x140C794C0	EXE5p_block_sub1_BlockCodeGetBlockX
0x140C79C10	EXE5p_block_sub1_BlockCodeGetBlockY
0x140C7A350	EXE5p_block_sub1_GetPlBlockY
0x140C7A570	EXE5p_block_sub1_GetPlBlockXY
0x140C7A6F0	EXE5p_block_sub1_CheckLineHeadBlock
0x140C7AE20	EXE5p_block_sub1_CheckLineHeadBlockSub
0x140C7B280	EXE5p_block_sub1_CheckLineHeadBlockSub2
0x140C7B7A0	EXE5p_block_sub1_CheckColmunHeadBlockSub
0x140C7BC00	EXE5p_block_sub1_CheckLineFarBlockSub
0x140C7C1C0	EXE5p_block_sub1_CheckColmunFarBlockSub
0x140C7C770	EXE5p_block_sub1_GetHeadBlockX
0x140C7CE20	EXE5p_block_sub1_CheckForwordBlock
0x140C7D4E0	EXE5p_block_sub1_CheckForwordBlock2
0x140C7DB30	EXE5p_block_sub1_CheckForwordBlock3
0x140C7E200	EXE5p_block_sub1_OffsetTableBlockGet
0x1412F0A10	EXE5p_block_sub2_GetTargetBlockXY
0x1412F0B50	EXE5p_block_sub2_GetPanelStealBlockXY
0x1412F0C40	EXE5p_block_sub2_GetPanelStealBlockXYSub
0x1412F0FF0	EXE5p_block_sub2_panel_steal_check_start_x_get
0x1412F13C0	EXE5p_block_sub2_GetAreaStealBlockX
0x1412F1730	EXE5p_block_sub2__area_steal_check_start_x_get
0x1412F1C50	EXE5p_block_sub2_AnotherBlockExistCheck
0x1412F2210	EXE5p_block_sub2_StealBlockCheck
0x1412F23C0	EXE5p_block_sub2_StealBlockEnableCheck
0x1412F2770	EXE5p_block_sub2_StealBlockEnableCheckSub
0x1412F3010	EXE5p_block_sub2_steal_block_check
0x1412F3640	EXE5p_block_sub2_BlockXPlEmCheck
0x140F4F440	EXE5p_bombe_BombeInit
0x140F4F7E0	EXE5p_bombe_BombeProcStop
0x140F4FAF0	EXE5p_bombe_BombeProcExec
0x140F4FE00	EXE5p_bombe_BombeDispOn
0x140F50110	EXE5p_bombe_BombeDispOff
0x140F50420	EXE5p_bombe_BombeDamageSet
0x140F50750	EXE5p_bombe_BombeRecSet
0x140F50A60	EXE5p_bombe_BombeWarpNoSet
0x140F50D20	EXE5p_bombe_BombeDamageCheck
0x140F50FE0	EXE5p_bombe_BombeMutekiSet
0x140F512B0	EXE5p_bombe_BombeMutekiCheck
0x140F51570	EXE5p_bombe_BombeDisp
0x140F51980	EXE5p_bombe_proc_00
0x140F522B0	EXE5p_bombe_proc_01
0x140F526A0	EXE5p_bombe_BombeDemoExec
0x140F52A90	EXE5p_bombe_bombe_disp_check
0x140F52DA0	EXE5p_bombe_bombe_rec_check
0x1410F4C70	EXE5p_boss_BossMove
0x1410F4D50	EXE5p_boss_boss_move
0x1410F4FC0	EXE5p_boss_BossOjamaCheck
0x1410F54C0	EXE5p_boss__dummy_func
0x140FE5D00	EXE5p_bs00act_Bs00ActCheck
0x140FE5EC0	EXE5p_bs00act_bs00_act_main
0x140FE6030	EXE5p_bs00act_bs00_act_chip
0x140FE6110	EXE5p_bs00act_Bs00Proc
0x140EF9820	EXE5p_bs01act_Bs01ActCheck
0x140EF9970	EXE5p_bs01act_bs01_act_main
0x140EFA2F0	EXE5p_bs01act_bs01_act_shift_wait
0x140EFA4F0	EXE5p_bs01act_bs01_act_shield_wait
0x140EFA9A0	EXE5p_bs01act_bs01_act_surprize_sword
0x140EFAC80	EXE5p_bs01act_bs01_act_combination_check_shadow
0x140EFAFA0	EXE5p_bs01act_bs01_act_ds_common
0x140EFB090	EXE5p_bs01act_bs01_act_dark_edge_shift
0x140EFB340	EXE5p_bs01act_bs01_act_dark_edge
0x140EFB500	EXE5p_bs01act_TargetFixedInvCheck
0x140EFB640	EXE5p_bs01act_Bs01Proc
0x140EFB6E0	EXE5p_bs01act_Bs01ShiftPosCheck
0x140EFB780	EXE5p_bs01act_Bs01FighterSwordShiftPosCheck
0x140EFB850	EXE5p_bs01act_Bs01FighterSwordShiftPosCheckNormal
0x140EFBB00	EXE5p_bs01act_Bs01FighterSwordShiftPosCheckBlindConf
0x140EFBE60	EXE5p_bs01act_Bs01InitProc
0x140EFC070	EXE5p_bs01act__bs01_sword_kind_check
0x140EFC330	EXE5p_bs01act__bs01_conbination_num_check
0x140EFC4B0	EXE5p_bs01act__bs01_surprize_sword_exec_check
0x140EFC630	EXE5p_bs01act__bs01_area_steal_check
0x140EFC8D0	EXE5p_bs01act__bs01_area_steal_exec_check
0x140EFCA10	EXE5p_bs01act_bs01_sword_col_set
0x141345DB0	EXE5p_bs01atk_Bs01AtkShift
0x141345EA0	EXE5p_bs01atk_bs01_shift_00
0x141346180	EXE5p_bs01atk_bs01_shift_01
0x1413463F0	EXE5p_bs01atk_bs01_shift_02
0x1413465B0	EXE5p_bs01atk_bs01_shift_03
0x1413466C0	EXE5p_bs01atk_Bs01AtkSurprizeSword
0x1413467B0	EXE5p_bs01atk_bs01_surprize_sword_00
0x141346C00	EXE5p_bs01atk_bs01_surprize_sword_01
0x141346F90	EXE5p_bs01atk_bs01_surprize_sword_02
0x141347190	EXE5p_bs01atk_bs01_surprize_sword_03
0x141347680	EXE5p_bs01atk_bs01_surprize_sword_04
0x1413478F0	EXE5p_bs01atk_bs01_surprize_sword_05
0x141347BD0	EXE5p_bs01atk_bs01_surprize_sword_06
0x141347F50	EXE5p_bs01atk_bs01_surprize_sword_07
0x141348190	EXE5p_bs01atk__bs01_surprize_sword_shift_pos_check
0x141348380	EXE5p_bs01atk__bs01_wide_sword_shift_pos_check
0x141348460	EXE5p_bs01atk__bs01_wide_sword_shift_pos_check_normal
0x141348640	EXE5p_bs01atk__bs01_wide_sword_shift_pos_check_blind_conf
0x141348920	EXE5p_bs01atk__bs01_wide_sword_atari_set
0x141348950	EXE5p_bs01atk__bs01_surprize_sword_atari_set
0x141348D70	EXE5p_bs01atk__bs01_fighter_sword_atari_set
0x141349190	EXE5p_bs01atk_Bs01AtkDeltaLayEdge
0x141349280	EXE5p_bs01atk_bs01_delta_lay_edge_00
0x141349550	EXE5p_bs01atk_bs01_delta_lay_edge_01
0x1413499F0	EXE5p_bs01atk_bs01_delta_lay_edge_02
0x141349BF0	EXE5p_bs01atk_bs01_delta_lay_edge_03
0x141349E20	EXE5p_bs01atk_bs01_delta_lay_edge_04
0x14134A1C0	EXE5p_bs01atk_bs01_delta_lay_edge_05
0x14134A420	EXE5p_bs01atk_bs01_delta_lay_edge_06
0x14134A6A0	EXE5p_bs01atk_bs01_delta_lay_edge_07
0x14134A870	EXE5p_bs01atk_bs01_delta_lay_edge_08
0x14134AAC0	EXE5p_bs01atk_Navi07_DLE_EfcSet
0x14134AB50	EXE5p_bs01atk_bs01_DLE_efc_set
0x14134ADD0	EXE5p_bs01atk__bs01_delta_lay_edge_atari_set
0x14134B1F0	EXE5p_bs01atk_Bs01AtkDarkEdge
0x14134B2E0	EXE5p_bs01atk_bs01_dark_edge_00
0x14134B5C0	EXE5p_bs01atk_bs01_dark_edge_01
0x14134B690	EXE5p_bs01atk_bs01_dark_edge_02
0x14134B7A0	EXE5p_bs01atk_bs01_dark_edge_03
0x14134BA50	EXE5p_bs01atk_bs01_dark_edge_04
0x14134BC40	EXE5p_bs01atk_bs01_dark_edge_05
0x14134BFC0	EXE5p_bs01atk_bs01_dark_edge_06
0x14134C1B0	EXE5p_bs01atk_bs01_dark_edge_07
0x14134C3F0	EXE5p_bs01atk_bs01_dark_edge_08
0x14134C660	EXE5p_bs01atk_bs01_dark_edge_09
0x14134C890	EXE5p_bs01atk_bs01_dark_edge_blues_shadow_set
0x14134CCE0	EXE5p_bs01atk_bs01_dark_edge_shift_pos_check
0x14134CF50	EXE5p_bs01atk__bs01_dark_edge_atari_set
0x14134D360	EXE5p_bs01atk_Bs01AtkShield
0x14134D490	EXE5p_bs01atk_bs01_shield_00
0x14134DA20	EXE5p_bs01atk_Bs01AtkShadowSlash
0x14134DB10	EXE5p_bs01atk_bs01_shadow_slash_00
0x14134DC80	EXE5p_bs01atk_bs01_shadow_slash_blues_shadow_set
