0x18488	EXE2j_btlev0a_BattleEvent0aMove
0x184a0	EXE2j_btlev0a_btlev0a_init
0x184a8	EXE2j_btlev0a_btlev0a_move
0x184c8	EXE2j_btlev0a_btlev0a_check
0x184e0	EXE2j_btlev0a_btlev0a_check_00
0x184f0	EXE2j_btlev0a_btlev0a_check_01
0x184f8	EXE2j_btlev0a_btlev0a_check_02
0x18500	EXE2j_btlev0a_btlev0a_telop
0x18508	EXE2j_btlev0a_btlev0a_pl_erase
0x18518	EXE2j_btlev0a_btlev0a_hart
0x18528	EXE2j_btlev0a_btlev0a_pl_entry
0x18530	EXE2j_btlev0a_btlev0a_exit
0x18538	EXE2j_btlev0b_BattleEvent0bMove
0x18550	EXE2j_btlev0b_event0b_init
0x18558	EXE2j_btlev0b_event0b_move
0x18570	EXE2j_btlev0b_event0b_set
0x18580	EXE2j_btlev0b_event0b_fade
0x18588	EXE2j_btlev0b_event0b_exit
0x18590	EXE2j_btlev0c_BattleEvent0cMove
0x185a8	EXE2j_btlev0c_event0c_init
0x185b0	EXE2j_btlev0c_event0c_move
0x185c8	EXE2j_btlev0c_event0c_set
0x185e0	EXE2j_btlev0c_event0c_fade
0x185e8	EXE2j_btlev0c_event0c_exit
0x185f0	EXE2j_btlev0d_BattleEvent0dMove
0x18608	EXE2j_btlev0d_btlev0d_init
0x18610	EXE2j_btlev0d_btlev0d_move
0x18630	EXE2j_btlev0d_btlev0d_telop
0x18638	EXE2j_btlev0d_btlev0d_pl_erase
0x18640	EXE2j_btlev0d_btlev0d_pl_entry
0x18648	EXE2j_btlev0d_btlev0d_exit
0x18650	EXE2j_btlev0e_BattleEvent0eMove
0x18668	EXE2j_btlev0e_btlev0e_init
0x18670	EXE2j_btlev0e_btlev0e_move
0x18690	EXE2j_btlev0e_btlev0e_telop
0x18698	EXE2j_btlev0e_btlev0e_pl_erase
0x186a0	EXE2j_btlev0e_btlev0e_pl_entry
0x186a8	EXE2j_btlev0e_btlev0e_exit
0x186b0	EXE2j_btlev0f_BattleEvent0fMove
0x186c8	EXE2j_btlev0f_btlev0f_init
0x186d0	EXE2j_btlev0f_btlev0f_move
0x186f0	EXE2j_btlev0f_btlev0f_telop
0x186f8	EXE2j_btlev0f_btlev0f_pl_erase
0x18700	EXE2j_btlev0f_btlev0f_pl_entry
0x18708	EXE2j_btlev0f_btlev0f_exit
0x18710	EXE2j_btlev10_BattleEvent10Move
0x18728	EXE2j_btlev10_btlev10_init
0x18730	EXE2j_btlev10_btlev10_move
0x18750	EXE2j_btlev10_btlev10_telop
0x18758	EXE2j_btlev10_btlev10_pl_erase
0x18760	EXE2j_btlev10_btlev10_pl_entry
0x18768	EXE2j_btlev10_btlev10_exit
0x18770	EXE2j_btlev11_BattleEvent11Move
0x18788	EXE2j_btlev11_event11_init
0x18790	EXE2j_btlev11_event11_move
0x187a8	EXE2j_btlev11_event11_appear
0x187c8	EXE2j_btlev11_event11_set
0x187d8	EXE2j_btlev11_event11_fade
0x187e0	EXE2j_btlev11_event11_exit
0x187e8	EXE2j_btlev12_BattleEvent12Move
0x18800	EXE2j_btlev12_event12_init
0x18808	EXE2j_btlev12_event12_move
0x18828	EXE2j_btlev12_event12_vanish
0x18830	EXE2j_btlev12_event12_set
0x18838	EXE2j_btlev12_event12_wait
0x18840	EXE2j_btlev12_event12_fade
0x18848	EXE2j_btlev12_event12_exit
0x18850	EXE2j_btlev13_BattleEvent13Move
0x18868	EXE2j_btlev13_btlev13_init
0x18870	EXE2j_btlev13_btlev13_move
0x18890	EXE2j_btlev13_btlev13_telop
0x18898	EXE2j_btlev13_btlev13_pl_erase
0x188a0	EXE2j_btlev13_btlev13_pl_entry
0x188a8	EXE2j_btlev13_btlev13_exit
0x188b0	EXE2j_btlev13_btlev13_syuriken_pos_set
0x188b8	EXE2j_btlev13_btlev13_syuriken_pos_set2
0x188c0	EXE2j_btlev14_BattleEvent14Move
0x188d8	EXE2j_btlev14_btlev14_init
0x188e0	EXE2j_btlev14_btlev14_move
0x18900	EXE2j_btlev14_btlev14_telop
0x18908	EXE2j_btlev14_btlev14_pl_erase
0x18910	EXE2j_btlev14_btlev14_pl_entry
0x18918	EXE2j_btlev14_btlev14_exit
0x18920	EXE2j_btlev15_BattleEvent15Move
0x18938	EXE2j_btlev15_btlev15_init
0x18940	EXE2j_btlev15_btlev15_move
0x18960	EXE2j_btlev15_btlev15_telop
0x18968	EXE2j_btlev15_btlev15_pl_erase
0x18970	EXE2j_btlev15_btlev15_pl_entry
0x18978	EXE2j_btlev15_btlev15_exit
0x18980	EXE2j_btlev16_BattleEvent16Move
0x18998	EXE2j_btlev16_event16_init
0x189a0	EXE2j_btlev16_event16_move
0x189b8	EXE2j_btlev16_event16_telop
0x189c0	EXE2j_btlev16_event16_efc
0x189c8	EXE2j_btlev16_event16_fade
0x189d0	EXE2j_btlev16_event16_exit
0x189d8	EXE2j_btlev17_BattleEvent17Move
0x189f0	EXE2j_btlev17_btlev17_init
0x189f8	EXE2j_btlev17_btlev17_move
0x18a18	EXE2j_btlev17_btlev17_telop
0x18a20	EXE2j_btlev17_btlev17_pl_erase
0x18a28	EXE2j_btlev17_btlev17_pl_entry
0x18a30	EXE2j_btlev17_btlev17_exit
0x18a38	EXE2j_btlev18_BattleEvent18Move
0x18a50	EXE2j_btlev18_event18_init
0x18a58	EXE2j_btlev18_event18_move
0x18a70	EXE2j_btlev18_event18_telop
0x18a78	EXE2j_btlev18_event18_efc
0x18a80	EXE2j_btlev18_event18_fade
0x18a88	EXE2j_btlev18_event18_exit
0x18a90	EXE2j_btlev19_BattleEvent19Move
0x18aa8	EXE2j_btlev19_btlev19_init
0x18ab0	EXE2j_btlev19_btlev19_move
0x18ad0	EXE2j_btlev19_btlev19_telop
0x18ad8	EXE2j_btlev19_btlev19_pl_erase
0x18ae0	EXE2j_btlev19_btlev19_pl_entry
0x18ae8	EXE2j_btlev19_btlev19_exit
0x18af0	EXE2j_btlev1a_BattleEvent1aMove
0x18b08	EXE2j_btlev1a_event1a_init
0x18b10	EXE2j_btlev1a_event1a_move
0x18b28	EXE2j_btlev1a_event1a_telop
0x18b30	EXE2j_btlev1a_event1a_efc
0x18b48	EXE2j_btlev1a_event1a_fade
0x18b50	EXE2j_btlev1a_event1a_exit
0x18b58	EXE2j_btlev1b_BattleEvent1bMove
0x18b70	EXE2j_btlev1b_event1b_init
0x18b78	EXE2j_btlev1b_event1b_move
0x18b90	EXE2j_btlev1b_event1b_telop
0x18b98	EXE2j_btlev1b_event1b_efc
0x18ba8	EXE2j_btlev1b_event1b_fade
0x18bb0	EXE2j_btlev1b_event1b_exit
0x18bb8	EXE2j_btlev1c_BattleEvent1cMove
0x18bd0	EXE2j_btlev1c_btlev1c_init
0x18bd8	EXE2j_btlev1c_btlev1c_move
0x18bf8	EXE2j_btlev1c_btlev1c_telop
0x18c00	EXE2j_btlev1c_btlev1c_pl_erase
0x18c08	EXE2j_btlev1c_btlev1c_pl_entry
0x18c10	EXE2j_btlev1c_btlev1c_exit
0x18c18	EXE2j_btlev1d_BattleEvent1dMove
0x18c30	EXE2j_btlev1d_event1d_init
0x18c38	EXE2j_btlev1d_event1d_move
0x18c50	EXE2j_btlev1d_event1d_appear
0x18c70	EXE2j_btlev1d_event1d_set
0x18c80	EXE2j_btlev1d_event1d_fade
0x18c88	EXE2j_btlev1d_event1d_exit
0x18c90	EXE2j_btlev1e_BattleEvent1eMove
0x18ca8	EXE2j_btlev1e_btlev1e_init
0x18cb0	EXE2j_btlev1e_btlev1e_move
0x18cd0	EXE2j_btlev1e_btlev1e_telop
0x18cd8	EXE2j_btlev1e_btlev1e_pl_erase
0x18ce0	EXE2j_btlev1e_btlev1e_pl_entry
0x18ce8	EXE2j_btlev1e_btlev1e_exit
0x18cf0	EXE2j_btlev1f_BattleEvent1fMove
0x18d08	EXE2j_btlev1f_btlev1f_init
0x18d10	EXE2j_btlev1f_btlev1f_move
0x18d30	EXE2j_btlev1f_btlev1f_telop
0x18d38	EXE2j_btlev1f_btlev1f_pl_erase
0x18d40	EXE2j_btlev1f_btlev1f_pl_entry
0x18d48	EXE2j_btlev1f_btlev1f_exit
0x18d50	EXE2j_btlev20_BattleEvent20Move
0x18d68	EXE2j_btlev20_btlev20_init
0x18d70	EXE2j_btlev20_btlev20_move
0x18d88	EXE2j_btlev20_btlev20_telop
0x18d90	EXE2j_btlev20_btlev20_trap_set
0x18d98	EXE2j_btlev20_btlev20_wait
0x18da0	EXE2j_btlev20_btlev20_trap_pos_check
0x18db0	EXE2j_btlev20_btlev20_exit
0x18db8	EXE2j_btlev21_BattleEvent21Move
0x18dd0	EXE2j_btlev21_btlev21_init
0x18dd8	EXE2j_btlev21_btlev21_move
0x18df8	EXE2j_btlev21_btlev21_telop
0x18e00	EXE2j_btlev21_btlev21_pl_erase
0x18e08	EXE2j_btlev21_btlev21_pl_entry
0x18e10	EXE2j_btlev21_btlev21_exit
0x18e18	EXE2j_btlev22_BattleEvent22Move
0x18e30	EXE2j_btlev22_btlev22_init
0x18e38	EXE2j_btlev22_btlev22_move
0x18e58	EXE2j_btlev22_btlev22_telop
0x18e60	EXE2j_btlev22_btlev22_pl_erase
0x18e68	EXE2j_btlev22_btlev22_pl_entry
0x18e70	EXE2j_btlev22_btlev22_exit
0x18e78	EXE2j_btlev23_BattleEvent23Move
0x18e90	EXE2j_btlev23_event23_init
0x18e98	EXE2j_btlev23_event23_move
0x18eb0	EXE2j_btlev23_event23_appear
0x18ed0	EXE2j_btlev23_event23_set
0x18ed8	EXE2j_btlev23_event23_fade
0x18ee0	EXE2j_btlev23_event23_exit
0x18ee8	EXE2j_btlev24_BattleEvent24Move
0x18f00	EXE2j_btlev24_btlev24_init
0x18f08	EXE2j_btlev24_btlev24_move
0x18f28	EXE2j_btlev24_btlev24_telop
0x18f30	EXE2j_btlev24_btlev24_pl_erase
0x18f38	EXE2j_btlev24_btlev24_pl_entry
0x18f40	EXE2j_btlev24_btlev24_exit
0x18f48	EXE2j_btlev25_BattleEvent25Move
0x18f60	EXE2j_btlev25_event25_init
0x18f68	EXE2j_btlev25_event25_move
0x18f80	EXE2j_btlev25_event25_telop
0x18f88	EXE2j_btlev25_event25_efc
0x18f98	EXE2j_btlev25_event25_fade
0x18fa0	EXE2j_btlev25_event25_exit
0x18fa8	EXE2j_btlev26_BattleEvent26Move
0x18fc0	EXE2j_btlev26_event26_init
0x18fc8	EXE2j_btlev26_event26_move
0x18fe0	EXE2j_btlev26_event26_appear
0x19000	EXE2j_btlev26_event26_set
0x19008	EXE2j_btlev26_event26_fade
0x19010	EXE2j_btlev26_event26_exit
0x19018	EXE2j_btlev27_BattleEvent27Move
0x19030	EXE2j_btlev27_event27_init
0x19038	EXE2j_btlev27_event27_move
0x19050	EXE2j_btlev27_event27_appear
0x19070	EXE2j_btlev27_event27_set
0x19078	EXE2j_btlev27_event27_exit
0x19080	EXE2j_btlev28_BattleEvent28Move
0x19098	EXE2j_btlev28_event28_init
0x190a8	EXE2j_btlev28_event28_move
0x190c0	EXE2j_btlev28_event28_appear
0x190e0	EXE2j_btlev28_event28_set
0x190e8	EXE2j_btlev28_event28_fade
0x190f0	EXE2j_btlev28_event28_exit
0x190f8	EXE2j_btlev29_BattleEvent29Move
0x19110	EXE2j_btlev29_event29_init
0x19118	EXE2j_btlev29_event29_move
0x19130	EXE2j_btlev29_event29_appear
0x19150	EXE2j_btlev29_event29_set
0x19158	EXE2j_btlev29_event29_fade
0x19160	EXE2j_btlev29_event29_exit
0x19168	EXE2j_btlev2a_BattleEvent2aMove
0x19180	EXE2j_btlev2a_btlev2a_init
0x19188	EXE2j_btlev2a_btlev2a_move
0x191a0	EXE2j_btlev2a_btlev2a_telop
0x191b0	EXE2j_btlev2a_btlev2a_wakusei_set
0x191b8	EXE2j_btlev2a_btlev2a_wait
0x191c0	EXE2j_btlev2a_btlev2a_exit
0x191c8	EXE2j_btlev2b_BattleEvent2bMove
0x191e0	EXE2j_btlev2b_event2b_init
0x191e8	EXE2j_btlev2b_event2b_move
0x19200	EXE2j_btlev2b_event2b_appear
0x19220	EXE2j_btlev2b_event2b_set
0x19228	EXE2j_btlev2b_event2b_fade
0x19230	EXE2j_btlev2b_event2b_exit
0x19238	EXE2j_btlev2c_BattleEvent2cMove
0x19250	EXE2j_btlev2c_btlev2c_init
0x19258	EXE2j_btlev2c_btlev2c_move
0x19278	EXE2j_btlev2c_btlev2c_telop
0x19280	EXE2j_btlev2c_btlev2c_pl_erase
0x19288	EXE2j_btlev2c_btlev2c_pl_entry
0x19290	EXE2j_btlev2c_btlev2c_exit
0x19298	EXE2j_btlev2d_BattleEvent2dMove
0x192b0	EXE2j_btlev2d_event2d_init
0x192b8	EXE2j_btlev2d_event2d_move
0x192d0	EXE2j_btlev2d_event2d_appear
0x192f8	EXE2j_btlev2d_event2d_set
0x19300	EXE2j_btlev2d_event2d_fade
0x19308	EXE2j_btlev2d_event2d_exit
0x19310	EXE2j_btlev2d_next_set_pos
0x19338	EXE2j_btlev2e_BattleEvent2eMove
0x19350	EXE2j_btlev2e_btlev2e_init
0x19358	EXE2j_btlev2e_btlev2e_move
0x19370	EXE2j_btlev2e_btlev2e_telop
0x19380	EXE2j_btlev2e_btlev2e_pl_erase
0x19388	EXE2j_btlev2e_btlev2e_pl_entry
0x19390	EXE2j_btlev2e_btlev2e_exit
0x19398	EXE2j_btlev2f_BattleEvent2fMove
0x193b0	EXE2j_btlev2f_event2f_init
0x193b8	EXE2j_btlev2f_event2f_move
0x193d0	EXE2j_btlev2f_event2f_telop
0x193d8	EXE2j_btlev2f_event2f_efc
0x193e0	EXE2j_btlev2f_event2f_fade
0x193e8	EXE2j_btlev2f_event2f_exit
0x193f0	EXE2j_btlev30_BattleEvent30Move
0x19408	EXE2j_btlev30_btlev30_init
0x19410	EXE2j_btlev30_btlev30_move
0x19428	EXE2j_btlev30_btlev30_telop
0x19438	EXE2j_btlev30_btlev30_gate_set
0x19440	EXE2j_btlev30_btlev30_wait
0x19448	EXE2j_btlev30_btlev30_exit
0x19450	EXE2j_btlev31_BattleEvent31Move
0x19468	EXE2j_btlev31_event31_init
0x19470	EXE2j_btlev31_event31_move
0x19488	EXE2j_btlev31_event31_telop
0x19490	EXE2j_btlev31_event31_efc
0x19498	EXE2j_btlev31_event31_fade
0x194a0	EXE2j_btlev31_event31_exit
0x194a8	EXE2j_btlev32_BattleEvent32Move
0x194c0	EXE2j_btlev32_event32_init
0x194c8	EXE2j_btlev32_event32_move
0x194e0	EXE2j_btlev32_event32_telop
0x194e8	EXE2j_btlev32_event32_efc
0x194f0	EXE2j_btlev32_event32_fade
0x194f8	EXE2j_btlev32_event32_exit
0x19500	EXE2j_btlev32_event32_panel_blink
0x19528	EXE2j_btlev32_event32_punish_set
0x19548	EXE2j_btlev33_BattleEvent33Move
0x19560	EXE2j_btlev33_btlev33_init
0x19568	EXE2j_btlev33_btlev33_move
0x19588	EXE2j_btlev33_btlev33_telop
0x19590	EXE2j_btlev33_btlev33_pl_erase
0x19598	EXE2j_btlev33_btlev33_pl_entry
0x195a0	EXE2j_btlev33_btlev33_exit
0x195a8	EXE2j_btlev34_BattleEvent34Move
0x195c0	EXE2j_btlev34_btlev34_init
0x195c8	EXE2j_btlev34_btlev34_move
0x195e8	EXE2j_btlev34_btlev34_telop
0x195f8	EXE2j_btlev34_btlev34_pl_erase
0x19600	EXE2j_btlev34_btlev34_pl_entry
0x19608	EXE2j_btlev34_btlev34_exit
0x19610	EXE2j_btlev35_BattleEvent35Move
0x19628	EXE2j_btlev35_btlev35_init
0x19630	EXE2j_btlev35_btlev35_move
0x19648	EXE2j_btlev35_btlev35_telop
