0x1f6f0	EXE3_btlev05_event05_exit
0x1f6f8	EXE3_btlev06_BattleEvent06Move
0x1f710	EXE3_btlev06_btlev06_move
0x1f730	EXE3_btlev06_btlev06_pl_erase
0x1f738	EXE3_btlev07_BattleEvent07Move
0x1f750	EXE3_btlev07_btlev07_move
0x1f770	EXE3_btlev07_btlev07_telop
0x1f788	EXE3_btlev07_btlev07_pl_erase
0x1f798	EXE3_btlev07_btlev07_pl_entry
0x1f7a0	EXE3_btlev08_BattleEvent08Move
0x1f7b8	EXE3_btlev08_btlev08_init
0x1f7c0	EXE3_btlev08_btlev08_move
0x1f7d0	EXE3_btlev08_btlev08_telop
0x1f7d8	EXE3_btlev08_btlev08_exit
0x1f7e0	EXE3_btlev09_BattleEvent09Move
0x1f7f8	EXE3_btlev09_btlev09_move
0x1f818	EXE3_btlev09_btlev09_pl_erase
0x1f820	EXE3_btlev0a_BattleEvent0aMove
0x1f838	EXE3_btlev0a_btlev0a_move
0x1f858	EXE3_btlev0a_btlev0a_pl_erase
0x1f860	EXE3_btlev0b_BattleEvent0bMove
0x1f878	EXE3_btlev0b_event0b_init
0x1f880	EXE3_btlev0b_event0b_move
0x1f898	EXE3_btlev0b_event0b_set
0x1f8a8	EXE3_btlev0b_event0b_fade
0x1f8b0	EXE3_btlev0b_event0b_exit
0x1f8b8	EXE3_btlev0c_BattleEvent0cMove
0x1f8d0	EXE3_btlev0c_event0c_init
0x1f8d8	EXE3_btlev0c_event0c_move
0x1f8f0	EXE3_btlev0c_event0c_set
0x1f908	EXE3_btlev0c_event0c_fade
0x1f910	EXE3_btlev0c_event0c_exit
0x1f918	EXE3_btlev0d_BattleEvent0dMove
0x1f930	EXE3_btlev0d_event0d_init
0x1f938	EXE3_btlev0d_event0d_move
0x1f950	EXE3_btlev0d_event0d_telop
0x1f958	EXE3_btlev0d_event0d_efc
0x1f960	EXE3_btlev0d_event0d_fade
0x1f968	EXE3_btlev0d_event0d_exit
0x1f970	EXE3_btlev0e_BattleEvent0eMove
0x1f988	EXE3_btlev0e_btlev0e_move
0x1f9a8	EXE3_btlev0e_btlev0e_pl_erase
0x1f9b0	EXE3_btlev0f_BattleEvent0fMove
0x1f9c8	EXE3_btlev0f_event0f_init
0x1f9d0	EXE3_btlev0f_event0f_move
0x1f9e8	EXE3_btlev0f_event0f_telop
0x1f9f0	EXE3_btlev0f_event0f_efc
0x1f9f8	EXE3_btlev0f_event0f_fade
0x1fa00	EXE3_btlev0f_event0f_exit
0x1fa08	EXE3_btlev10_BattleEvent10Move
0x1fa20	EXE3_btlev10_btlev10_init
0x1fa28	EXE3_btlev10_btlev10_move
0x1fa40	EXE3_btlev10_btlev10_telop
0x1fa48	EXE3_btlev10_btlev10_sikake_set
0x1fa50	EXE3_btlev10_btlev10_exit
0x1fa58	EXE3_btlev10_btlev10_sikake_set_sub
0x1fa68	EXE3_btlev10_sikake_type00_set
0x1fa70	EXE3_btlev11_BattleEvent11Move
0x1fa88	EXE3_btlev11_btlev11_init
0x1fa90	EXE3_btlev11_btlev11_move
0x1fab0	EXE3_btlev11_btlev11_check
0x1fab8	EXE3_btlev11_btlev11_telop
0x1fac0	EXE3_btlev11_btlev11_pl_erase
0x1fad0	EXE3_btlev11_btlev11_pl_entry
0x1fad8	EXE3_btlev11_btlev11_exit
0x1fae0	EXE3_btlev12_BattleEvent12Move
0x1faf8	EXE3_btlev12_event12_init
0x1fb08	EXE3_btlev12_event12_move
0x1fb20	EXE3_btlev12_event12_appear
0x1fb40	EXE3_btlev12_event12_set
0x1fb58	EXE3_btlev12_event12_fade
0x1fb60	EXE3_btlev12_event12_exit
0x1fb68	EXE3_btlev13_BattleEvent13Move
0x1fb80	EXE3_btlev13_event13_init
0x1fb88	EXE3_btlev13_event13_move
0x1fba0	EXE3_btlev13_event13_appear
0x1fbc0	EXE3_btlev13_event13_set
0x1fbc8	EXE3_btlev13_event13_fade
0x1fbd0	EXE3_btlev13_event13_exit
0x1fbd8	EXE3_btlev14_BattleEvent14Move
0x1fbf0	EXE3_btlev14_btlev14_move
0x1fc10	EXE3_btlev14_btlev14_pl_erase
0x1fc18	EXE3_btlev15_BattleEvent15Move
0x1fc30	EXE3_btlev15_event15_init
0x1fc38	EXE3_btlev15_event15_move
0x1fc50	EXE3_btlev15_event15_telop
0x1fc58	EXE3_btlev15_event15_efc
0x1fc60	EXE3_btlev15_event15_fade
0x1fc68	EXE3_btlev15_event15_exit
0x1fc70	EXE3_btlev15_event15_panel_blink
0x1fc98	EXE3_btlev15_event15_punish_set
0x1fcb8	EXE3_btlev16_BattleEvent16Move
0x1fcd8	EXE3_btlev16_event16_init
0x1fce0	EXE3_btlev16_event16_move_00
0x1fcf0	EXE3_btlev16_event16_move_01
0x1fd10	EXE3_btlev16_event16_move_02
0x1fd18	EXE3_btlev16_event16_exit
0x1fd20	EXE3_btlev17_BattleEvent17Move
0x1fd38	EXE3_btlev17_btlev17_init
0x1fd40	EXE3_btlev17_btlev17_move
0x1fd58	EXE3_btlev17_btlev17_telop
0x1fd60	EXE3_btlev17_btlev17_pl_erase
0x1fd68	EXE3_btlev17_btlev17_pl_entry
0x1fd70	EXE3_btlev17_btlev17_exit
0x1fd78	EXE3_btlev18_BattleEvent18Move
0x1fd90	EXE3_btlev18_event18_init
0x1fd98	EXE3_btlev18_event18_move
0x1fdb8	EXE3_btlev18_event18_telop
0x1fdc0	EXE3_btlev18_event18_pl_off
0x1fdd8	EXE3_btlev18_event18_pl_on
0x1fde0	EXE3_btlev18_event18_fade
0x1fde8	EXE3_btlev18_event18_exit
0x1fdf0	EXE3_btlev19_BattleEvent19Move
0x1fe08	EXE3_btlev19_event19_init
0x1fe10	EXE3_btlev19_event19_move
0x1fe28	EXE3_btlev19_event19_telop
0x1fe30	EXE3_btlev19_event19_efc
0x1fe38	EXE3_btlev19_event19_fade
0x1fe40	EXE3_btlev19_event19_exit
0x1fe48	EXE3_btlev1a_BattleEvent1aMove
0x1fe60	EXE3_btlev1a_btlev1a_init
0x1fe68	EXE3_btlev1a_btlev1a_move
0x1fe88	EXE3_btlev1a_btlev1a_check
0x1fe90	EXE3_btlev1a_btlev1a_telop
0x1fe98	EXE3_btlev1a_btlev1a_pl_erase
0x1fea8	EXE3_btlev1a_btlev1a_pl_entry
0x1feb0	EXE3_btlev1a_btlev1a_exit
0x1feb8	EXE3_btlev1b_BattleEvent1bMove
0x1fed0	EXE3_btlev1b_event1b_init
0x1fed8	EXE3_btlev1b_event1b_move
0x1fef0	EXE3_btlev1b_event1b_telop
0x1fef8	EXE3_btlev1b_event1b_efc
0x1ff10	EXE3_btlev1b_event1b_fade
0x1ff18	EXE3_btlev1b_event1b_exit
0x1ff20	EXE3_btlev1c_BattleEvent1cMove
0x1ff38	EXE3_btlev1c_event1c_init
0x1ff40	EXE3_btlev1c_event1c_move
0x1ff58	EXE3_btlev1c_event1c_appear
0x1ff78	EXE3_btlev1c_event1c_set
0x1ff80	EXE3_btlev1c_event1c_exit
0x1ff88	EXE3_btlev1d_BattleEvent1dMove
0x1ffa0	EXE3_btlev1d_btlev1d_init
0x1ffa8	EXE3_btlev1d_btlev1d_move
0x1ffc8	EXE3_btlev1d_btlev1d_check
0x1ffd0	EXE3_btlev1d_btlev1d_telop
0x1ffd8	EXE3_btlev1d_btlev1d_pl_erase
0x1ffe8	EXE3_btlev1d_btlev1d_pl_entry
0x1fff0	EXE3_btlev1d_btlev1d_exit
0x1fff8	EXE3_btlev1e_BattleEvent1eMove
0x20010	EXE3_btlev1e_btlev1e_init
0x20018	EXE3_btlev1e_btlev1e_move
0x20038	EXE3_btlev1e_btlev1e_check
0x20040	EXE3_btlev1e_btlev1e_telop
0x20048	EXE3_btlev1e_btlev1e_pl_erase
0x20058	EXE3_btlev1e_btlev1e_pl_entry
0x20060	EXE3_btlev1e_btlev1e_exit
0x20068	EXE3_btlev1f_BattleEvent1fMove
0x20080	EXE3_btlev1f_btlev1f_move
0x200a0	EXE3_btlev1f_btlev1f_pl_erase
0x200a8	EXE3_btlev20_BattleEvent20Move
0x200c0	EXE3_btlev20_event20_init
0x200c8	EXE3_btlev20_event20_move
0x200e0	EXE3_btlev20_event20_telop
0x200f0	EXE3_btlev20_event20_efc
0x200f8	EXE3_btlev20_event20_fade
0x20100	EXE3_btlev20_event20_exit
0x20108	EXE3_btlev21_BattleEvent21Move
0x20120	EXE3_btlev21_event21_init
0x20130	EXE3_btlev21_event21_move
0x20148	EXE3_btlev21_event21_appear
