0x25118	EXE4_block_sub_BlockPlEmTimerSet
0x25128	EXE4_block_sub_BlockTransSet
0x25138	EXE4_block_sub_BlockTransOn
0x25148	EXE4_block_sub_BlockTransOff
0x25158	EXE4_block_sub_BlockInScreenCheck
0x25160	EXE4_block_sub_BlockInScreenCheckSub
0x25168	EXE4_block_sub_BlockMoveCheck
0x25170	EXE4_block_sub_BlockExistCheck
0x25178	EXE4_block_sub_BlockExistCheckSub
0x25180	EXE4_block_sub_HitBlockFlash
0x25188	EXE4_block_sub_HitBlockFlashSub
0x25198	EXE4_block_sub_BlockTypeNumGet
0x251a0	EXE4_block_sub_BlockTypeExceptNumGet
0x251a8	EXE4_block_sub1_RandomMoveBlockGet
0x251b0	EXE4_block_sub1_RandomMoveBlockGet2
0x251b8	EXE4_block_sub1_BlockCodeGetBlockX_noY_Auto
0x251c0	EXE4_block_sub1_BlockCodeGetBlockX_noY
0x251c8	EXE4_block_sub1_BlockCodeGetNoBlockY
0x251d0	EXE4_block_sub1_BlockCodeGetBlockX
0x251d8	EXE4_block_sub1_BlockCodeGetBlockY
0x251e0	EXE4_block_sub1_BlockCodeGetNoBlockX
0x251e8	EXE4_block_sub1_GetPlBlockY
0x251f0	EXE4_block_sub1_GetPlBlockXY
0x251f8	EXE4_block_sub1_CheckLineHeadBlock
0x25200	EXE4_block_sub1_GetHeadBlockX
0x25208	EXE4_block_sub1_CheckForwordBlock
0x25210	EXE4_block_sub2_BlockXPlEmCheck
0x25218	EXE4_block_sub2_BlockHideCheck
0x25498	EXE4_bombe_BombeInit
0x254a0	EXE4_bombe_BombeProcStop
0x254a8	EXE4_bombe_BombeProcExec
0x254b0	EXE4_bombe_BombeDispOn
0x254b8	EXE4_bombe_BombeDispOff
0x254c0	EXE4_bombe_BombeDisp
0x254e0	EXE4_bombe_bombe_disp_check
0x254e8	EXE4_bombe_bombe_disp_check2
0x254f0	EXE4_bombe_bombe_rec_check
0x25510	EXE4_bombe_bubble_check
0x25628	EXE4_bombgame_BombGameInit
0x25638	EXE4_bombgame_BombGameCheck
0x25658	EXE4_bombgame_bomb_game_init
0x25678	EXE4_bombgame_bomb_game_countdown
0x25690	EXE4_bombgame_bomb_game_next
0x25698	EXE4_bombgame_bomb_game_end
0x256a0	EXE4_bombgame_bomb_clear_sub
0x256a8	EXE4_bosscomm_BossCommonEntry
0x256b0	EXE4_bosscomm_BossCommonOut
0x256c8	EXE4_bosscomm_boss_common_out_00
0x256d0	EXE4_bosscomm_boss_common_out_01
0x256d8	EXE4_bosscomm_BossCommonOut2
0x256f0	EXE4_bosscomm_boss_common_out2_01
0x256f8	EXE4_bosscomm_boss_common_out2_02
0x25700	EXE4_bosscomm_BossCommonStagger
0x25708	EXE4_bosscomm_BossCommonForceShift
